"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ERCO,"10/1/2017 12 a.m. CDT",36719,36883,36691,-29
ERCO,"10/1/2017 1 a.m. CDT",34294,34803,34363,69
ERCO,"10/1/2017 2 a.m. CDT",32328,32916,32414,85
ERCO,"10/1/2017 3 a.m. CDT",31077,31515,31078,1
ERCO,"10/1/2017 4 a.m. CDT",30215,30499,30079,-138
ERCO,"10/1/2017 5 a.m. CDT",29717,29863,29784,65
ERCO,"10/1/2017 6 a.m. CDT",29682,29620,29674,33
ERCO,"10/1/2017 7 a.m. CDT",30088,29874,29868,-206
ERCO,"10/1/2017 8 a.m. CDT",30543,30277,30378,-166
ERCO,"10/1/2017 9 a.m. CDT",32303,31985,32092,-211
ERCO,"10/1/2017 10 a.m. CDT",35122,34808,35036,-86
ERCO,"10/1/2017 11 a.m. CDT",38272,37728,38378,106
ERCO,"10/1/2017 12 p.m. CDT",41624,40529,41824,200
ERCO,"10/1/2017 1 p.m. CDT",44850,43396,44879,29
ERCO,"10/1/2017 2 p.m. CDT",47592,46181,47735,144
ERCO,"10/1/2017 3 p.m. CDT",49918,48671,50125,206
ERCO,"10/1/2017 4 p.m. CDT",51624,50496,51743,118
ERCO,"10/1/2017 5 p.m. CDT",52604,51613,52759,155
ERCO,"10/1/2017 6 p.m. CDT",52572,51294,52813,240
ERCO,"10/1/2017 7 p.m. CDT",50997,49682,51256,259
ERCO,"10/1/2017 8 p.m. CDT",49852,49089,50230,377
ERCO,"10/1/2017 9 p.m. CDT",48522,47377,48948,426
ERCO,"10/1/2017 10 p.m. CDT",45980,44958,46436,456
ERCO,"10/1/2017 11 p.m. CDT",42707,41761,43054,347
ERCO,"10/2/2017 12 a.m. CDT",39168,38310,39615,447
ERCO,"10/2/2017 1 a.m. CDT",36443,35865,36723,279
ERCO,"10/2/2017 2 a.m. CDT",34642,33970,35164,521
ERCO,"10/2/2017 3 a.m. CDT",33503,32831,33647,144
ERCO,"10/2/2017 4 a.m. CDT",32893,32192,33027,133
ERCO,"10/2/2017 5 a.m. CDT",33213,32342,33421,208
ERCO,"10/2/2017 6 a.m. CDT",35070,33923,35339,269
ERCO,"10/2/2017 7 a.m. CDT",38299,36674,38718,419
ERCO,"10/2/2017 8 a.m. CDT",39400,38049,39928,527
ERCO,"10/2/2017 9 a.m. CDT",40175,38686,40591,415
ERCO,"10/2/2017 10 a.m. CDT",42596,40789,43092,495
ERCO,"10/2/2017 11 a.m. CDT",45431,43397,45948,515
ERCO,"10/2/2017 12 p.m. CDT",47966,46059,48517,549
ERCO,"10/2/2017 1 p.m. CDT",50145,48511,50988,839
ERCO,"10/2/2017 2 p.m. CDT",52295,51092,53244,947
ERCO,"10/2/2017 3 p.m. CDT",54312,53276,55198,884
ERCO,"10/2/2017 4 p.m. CDT",55798,54871,56626,826
ERCO,"10/2/2017 5 p.m. CDT",56618,55602,57258,639
ERCO,"10/2/2017 6 p.m. CDT",56126,55073,56674,546
ERCO,"10/2/2017 7 p.m. CDT",54251,53325,54790,538
ERCO,"10/2/2017 8 p.m. CDT",53259,52944,53653,393
ERCO,"10/2/2017 9 p.m. CDT",52105,50686,52539,433
ERCO,"10/2/2017 10 p.m. CDT",49337,48068,49928,590
ERCO,"10/2/2017 11 p.m. CDT",45740,44603,46147,406
ERCO,"10/3/2017 12 a.m. CDT",42147,41140,42549,401
ERCO,"10/3/2017 1 a.m. CDT",39451,39134,39654,202
ERCO,"10/3/2017 2 a.m. CDT",37626,37511,37889,263
ERCO,"10/3/2017 3 a.m. CDT",36570,35846,36721,150
ERCO,"10/3/2017 4 a.m. CDT",36093,35937,36159,66
ERCO,"10/3/2017 5 a.m. CDT",36362,35550,36367,5
ERCO,"10/3/2017 6 a.m. CDT",38178,37795,38314,136
ERCO,"10/3/2017 7 a.m. CDT",41411,40163,41700,290
ERCO,"10/3/2017 8 a.m. CDT",42739,41265,43312,572
ERCO,"10/3/2017 9 a.m. CDT",42954,41861,43465,509
ERCO,"10/3/2017 10 a.m. CDT",44525,44475,45114,588
ERCO,"10/3/2017 11 a.m. CDT",46894,46355,47444,538
ERCO,"10/3/2017 12 p.m. CDT",49118,47680,49696,571
ERCO,"10/3/2017 1 p.m. CDT",50465,49183,51172,706
ERCO,"10/3/2017 2 p.m. CDT",51348,51613,51787,438
ERCO,"10/3/2017 3 p.m. CDT",51843,52773,52276,432
ERCO,"10/3/2017 4 p.m. CDT",51875,52281,52092,215
ERCO,"10/3/2017 5 p.m. CDT",52010,53927,52225,214
ERCO,"10/3/2017 6 p.m. CDT",51385,51508,51408,22
ERCO,"10/3/2017 7 p.m. CDT",50214,49971,50468,253
ERCO,"10/3/2017 8 p.m. CDT",50176,50157,50640,463
ERCO,"10/3/2017 9 p.m. CDT",49283,47754,49706,422
ERCO,"10/3/2017 10 p.m. CDT",47377,46365,47677,299
ERCO,"10/3/2017 11 p.m. CDT",44343,43927,44654,310
ERCO,"10/4/2017 12 a.m. CDT",41178,40891,41518,339
ERCO,"10/4/2017 1 a.m. CDT",38918,38673,39099,180
ERCO,"10/4/2017 2 a.m. CDT",37434,36546,37596,161
ERCO,"10/4/2017 3 a.m. CDT",36567,35452,36562,-6
ERCO,"10/4/2017 4 a.m. CDT",36067,34971,36057,-10
ERCO,"10/4/2017 5 a.m. CDT",36213,34845,36203,-10
ERCO,"10/4/2017 6 a.m. CDT",37857,36980,37844,-14
ERCO,"10/4/2017 7 a.m. CDT",40969,39919,40966,-3
ERCO,"10/4/2017 8 a.m. CDT",42086,41189,42387,301
ERCO,"10/4/2017 9 a.m. CDT",42349,41578,42639,290
ERCO,"10/4/2017 10 a.m. CDT",43735,43462,44103,367
ERCO,"10/4/2017 11 a.m. CDT",45573,45107,45864,291
ERCO,"10/4/2017 12 p.m. CDT",47798,47575,48089,291
ERCO,"10/4/2017 1 p.m. CDT",50104,49283,50340,235
ERCO,"10/4/2017 2 p.m. CDT",52518,51348,52595,77
ERCO,"10/4/2017 3 p.m. CDT",54473,53088,54416,-57
ERCO,"10/4/2017 4 p.m. CDT",55484,54029,55202,-282
ERCO,"10/4/2017 5 p.m. CDT",56014,54911,55340,-674
ERCO,"10/4/2017 6 p.m. CDT",55523,53262,54818,-706
ERCO,"10/4/2017 7 p.m. CDT",53480,52021,53347,-133
ERCO,"10/4/2017 8 p.m. CDT",52393,51182,52322,-72
ERCO,"10/4/2017 9 p.m. CDT",51027,49817,51064,36
