"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ERCO,"8/1/2020 12 a.m. CDT",47854,50984,47542,-312
ERCO,"8/1/2020 1 a.m. CDT",44575,46967,44583,8
ERCO,"8/1/2020 2 a.m. CDT",42035,44192,42035,1
ERCO,"8/1/2020 3 a.m. CDT",40126,42274,40127,1
ERCO,"8/1/2020 4 a.m. CDT",38463,40802,38464,1
ERCO,"8/1/2020 5 a.m. CDT",37324,39829,37325,1
ERCO,"8/1/2020 6 a.m. CDT",36792,39418,36790,-2
ERCO,"8/1/2020 7 a.m. CDT",36739,39268,36547,-193
ERCO,"8/1/2020 8 a.m. CDT",36991,39909,36793,-198
ERCO,"8/1/2020 9 a.m. CDT",39161,42231,38963,-198
ERCO,"8/1/2020 10 a.m. CDT",42254,45983,42055,-199
ERCO,"8/1/2020 11 a.m. CDT",45382,50064,45088,-295
ERCO,"8/1/2020 12 p.m. CDT",48688,53745,48324,-364
ERCO,"8/1/2020 1 p.m. CDT",51799,57387,51439,-360
ERCO,"8/1/2020 2 p.m. CDT",54622,60234,53774,-847
ERCO,"8/1/2020 3 p.m. CDT",57055,62614,56135,-921
ERCO,"8/1/2020 4 p.m. CDT",58405,63552,57411,-994
ERCO,"8/1/2020 5 p.m. CDT",59069,64278,58073,-996
ERCO,"8/1/2020 6 p.m. CDT",59163,64366,58345,-819
ERCO,"8/1/2020 7 p.m. CDT",58502,63220,57872,-630
ERCO,"8/1/2020 8 p.m. CDT",56490,60671,55874,-617
ERCO,"8/1/2020 9 p.m. CDT",54081,58691,53534,-547
ERCO,"8/1/2020 10 p.m. CDT",51936,56435,51517,-419
ERCO,"8/1/2020 11 p.m. CDT",48584,52994,48281,-303
ERCO,"8/2/2020 12 a.m. CDT",45357,49479,44857,-500
ERCO,"8/2/2020 1 a.m. CDT",42346,44028,42415,69
ERCO,"8/2/2020 2 a.m. CDT",39892,41627,39973,81
ERCO,"8/2/2020 3 a.m. CDT",37949,39622,37951,1
ERCO,"8/2/2020 4 a.m. CDT",36529,38292,36530,1
ERCO,"8/2/2020 5 a.m. CDT",35694,37583,35694,1
ERCO,"8/2/2020 6 a.m. CDT",35326,37138,35323,-3
ERCO,"8/2/2020 7 a.m. CDT",35155,37020,35023,-132
ERCO,"8/2/2020 8 a.m. CDT",35385,37360,35267,-117
ERCO,"8/2/2020 9 a.m. CDT",38330,39750,38213,-117
ERCO,"8/2/2020 10 a.m. CDT",42766,43510,42568,-198
ERCO,"8/2/2020 11 a.m. CDT",47714,48270,47366,-348
ERCO,"8/2/2020 12 p.m. CDT",52437,52658,51942,-495
ERCO,"8/2/2020 1 p.m. CDT",56418,56278,55425,-993
ERCO,"8/2/2020 2 p.m. CDT",59335,59124,58306,-1029
ERCO,"8/2/2020 3 p.m. CDT",61515,61935,60440,-1075
ERCO,"8/2/2020 4 p.m. CDT",62681,63583,61595,-1086
ERCO,"8/2/2020 5 p.m. CDT",63319,64439,62224,-1095
ERCO,"8/2/2020 6 p.m. CDT",62721,64797,61739,-981
ERCO,"8/2/2020 7 p.m. CDT",61355,63685,60714,-641
ERCO,"8/2/2020 8 p.m. CDT",58906,61244,58391,-515
ERCO,"8/2/2020 9 p.m. CDT",56299,58987,55818,-481
ERCO,"8/2/2020 10 p.m. CDT",53995,56467,53273,-722
ERCO,"8/2/2020 11 p.m. CDT",50213,52617,49776,-437
ERCO,"8/3/2020 12 a.m. CDT",46399,48580,46049,-350
ERCO,"8/3/2020 1 a.m. CDT",43037,44604,43027,-10
ERCO,"8/3/2020 2 a.m. CDT",40487,41864,40487,1
ERCO,"8/3/2020 3 a.m. CDT",38626,40123,38626,1
ERCO,"8/3/2020 4 a.m. CDT",37588,39185,37588,1
ERCO,"8/3/2020 5 a.m. CDT",37417,38957,37417,1
ERCO,"8/3/2020 6 a.m. CDT",38171,39781,38169,-2
ERCO,"8/3/2020 7 a.m. CDT",39674,41452,39515,-160
ERCO,"8/3/2020 8 a.m. CDT",40872,42428,40700,-173
ERCO,"8/3/2020 9 a.m. CDT",43760,44651,43598,-162
ERCO,"8/3/2020 10 a.m. CDT",47419,48163,47336,-83
ERCO,"8/3/2020 11 a.m. CDT",51669,52047,51502,-168
ERCO,"8/3/2020 12 p.m. CDT",55910,56237,55646,-265
ERCO,"8/3/2020 1 p.m. CDT",59776,59401,58995,-781
ERCO,"8/3/2020 2 p.m. CDT",63122,62631,62345,-777
ERCO,"8/3/2020 3 p.m. CDT",65711,64845,64850,-862
ERCO,"8/3/2020 4 p.m. CDT",67271,66520,66409,-862
ERCO,"8/3/2020 5 p.m. CDT",67523,67317,66560,-964
ERCO,"8/3/2020 6 p.m. CDT",66295,67210,65329,-966
ERCO,"8/3/2020 7 p.m. CDT",63652,65034,62695,-956
ERCO,"8/3/2020 8 p.m. CDT",60568,62026,59682,-886
ERCO,"8/3/2020 9 p.m. CDT",58310,60256,57436,-874
ERCO,"8/3/2020 10 p.m. CDT",56071,57647,55268,-802
ERCO,"8/3/2020 11 p.m. CDT",52187,53183,51666,-521
ERCO,"8/4/2020 12 a.m. CDT",48123,49090,47616,-507
ERCO,"8/4/2020 1 a.m. CDT",44726,46320,44728,2
ERCO,"8/4/2020 2 a.m. CDT",42224,43518,42115,-109
ERCO,"8/4/2020 3 a.m. CDT",40539,41790,40199,-340
ERCO,"8/4/2020 4 a.m. CDT",39512,40493,39378,-134
ERCO,"8/4/2020 5 a.m. CDT",39239,40295,39227,-11
ERCO,"8/4/2020 6 a.m. CDT",39982,40879,40020,38
ERCO,"8/4/2020 7 a.m. CDT",41355,42430,41294,-61
ERCO,"8/4/2020 8 a.m. CDT",41999,43248,41925,-74
ERCO,"8/4/2020 9 a.m. CDT",43945,45369,43847,-98
ERCO,"8/4/2020 10 a.m. CDT",47156,48612,47184,28
ERCO,"8/4/2020 11 a.m. CDT",51157,52889,51095,-62
ERCO,"8/4/2020 12 p.m. CDT",55356,57128,55193,-162
ERCO,"8/4/2020 1 p.m. CDT",59390,60628,59148,-242
ERCO,"8/4/2020 2 p.m. CDT",62942,64279,62091,-851
ERCO,"8/4/2020 3 p.m. CDT",65773,66797,64915,-858
ERCO,"8/4/2020 4 p.m. CDT",67593,68923,66705,-888
ERCO,"8/4/2020 5 p.m. CDT",68495,69575,67594,-902
ERCO,"8/4/2020 6 p.m. CDT",68188,69549,67266,-922
ERCO,"8/4/2020 7 p.m. CDT",66480,67791,65623,-857
ERCO,"8/4/2020 8 p.m. CDT",63673,64861,62875,-797
ERCO,"8/4/2020 9 p.m. CDT",60985,62908,60214,-771
ERCO,"8/4/2020 10 p.m. CDT",58348,60262,58091,-257
ERCO,"8/4/2020 11 p.m. CDT",54285,55571,54302,17
ERCO,"8/5/2020 12 a.m. CDT",50214,51537,50255,41
ERCO,"8/5/2020 1 a.m. CDT",46845,46980,46845,1
ERCO,"8/5/2020 2 a.m. CDT",44228,44420,44228,1
ERCO,"8/5/2020 3 a.m. CDT",42288,42060,42284,-4
ERCO,"8/5/2020 4 a.m. CDT",41060,40876,40585,-475
ERCO,"8/5/2020 5 a.m. CDT",40609,40737,40030,-579
ERCO,"8/5/2020 6 a.m. CDT",41237,41339,41076,-162
ERCO,"8/5/2020 7 a.m. CDT",42441,42807,42250,-191
ERCO,"8/5/2020 8 a.m. CDT",43371,43793,43318,-53
ERCO,"8/5/2020 9 a.m. CDT",45769,45586,45741,-28
ERCO,"8/5/2020 10 a.m. CDT",49095,49080,49201,106
ERCO,"8/5/2020 11 a.m. CDT",52528,53519,52662,134
ERCO,"8/5/2020 12 p.m. CDT",56202,57451,56160,-42
ERCO,"8/5/2020 1 p.m. CDT",59564,61224,59460,-104
ERCO,"8/5/2020 2 p.m. CDT",62453,64648,62018,-435
ERCO,"8/5/2020 3 p.m. CDT",64828,67546,64520,-308
ERCO,"8/5/2020 4 p.m. CDT",66092,69091,65680,-412
ERCO,"8/5/2020 5 p.m. CDT",66703,69486,66198,-505
ERCO,"8/5/2020 6 p.m. CDT",66413,69375,65908,-505
ERCO,"8/5/2020 7 p.m. CDT",65335,67327,65145,-190
ERCO,"8/5/2020 8 p.m. CDT",63039,64776,62889,-150
ERCO,"8/5/2020 9 p.m. CDT",60702,62656,60561,-141
ERCO,"8/5/2020 10 p.m. CDT",58435,59919,58279,-156
ERCO,"8/5/2020 11 p.m. CDT",54691,55870,54703,11
ERCO,"8/6/2020 12 a.m. CDT",50676,51691,50720,44
ERCO,"8/6/2020 1 a.m. CDT",47351,47759,46906,-445
ERCO,"8/6/2020 2 a.m. CDT",44822,45121,44363,-459
ERCO,"8/6/2020 3 a.m. CDT",42884,42971,42420,-464
ERCO,"8/6/2020 4 a.m. CDT",41711,41814,41247,-464
