"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ERCO,"7/1/2017 12 a.m. CDT",50140,51274,50711,569
ERCO,"7/1/2017 1 a.m. CDT",46274,47528,46453,179
ERCO,"7/1/2017 2 a.m. CDT",43303,44720,43473,170
ERCO,"7/1/2017 3 a.m. CDT",41026,42734,41196,171
ERCO,"7/1/2017 4 a.m. CDT",39553,41031,39742,189
ERCO,"7/1/2017 5 a.m. CDT",38510,40105,38993,482
ERCO,"7/1/2017 6 a.m. CDT",38101,39819,38349,247
ERCO,"7/1/2017 7 a.m. CDT",37881,39650,38172,290
ERCO,"7/1/2017 8 a.m. CDT",38240,39943,38533,291
ERCO,"7/1/2017 9 a.m. CDT",40609,42536,40902,291
ERCO,"7/1/2017 10 a.m. CDT",43388,45772,43677,287
ERCO,"7/1/2017 11 a.m. CDT",45880,48882,45928,46
ERCO,"7/1/2017 12 p.m. CDT",48118,51851,47889,-229
ERCO,"7/1/2017 1 p.m. CDT",50165,54723,49939,-227
ERCO,"7/1/2017 2 p.m. CDT",51661,57035,51431,-230
ERCO,"7/1/2017 3 p.m. CDT",52910,58971,52739,-171
ERCO,"7/1/2017 4 p.m. CDT",53981,60391,53809,-172
ERCO,"7/1/2017 5 p.m. CDT",54977,61306,54855,-122
ERCO,"7/1/2017 6 p.m. CDT",55707,61241,55616,-91
ERCO,"7/1/2017 7 p.m. CDT",55363,60065,55447,84
ERCO,"7/1/2017 8 p.m. CDT",53802,57783,53757,-45
ERCO,"7/1/2017 9 p.m. CDT",51863,55492,51842,-22
ERCO,"7/1/2017 10 p.m. CDT",50610,54067,50591,-20
ERCO,"7/1/2017 11 p.m. CDT",48015,51273,47906,-110
ERCO,"7/2/2017 12 a.m. CDT",45121,48093,45131,9
ERCO,"7/2/2017 1 a.m. CDT",42286,43086,42050,-236
ERCO,"7/2/2017 2 a.m. CDT",40008,40723,39768,-240
ERCO,"7/2/2017 3 a.m. CDT",38298,39058,38058,-240
ERCO,"7/2/2017 4 a.m. CDT",37077,37739,36837,-240
ERCO,"7/2/2017 5 a.m. CDT",36336,37064,36099,-237
ERCO,"7/2/2017 6 a.m. CDT",36036,36709,35802,-234
ERCO,"7/2/2017 7 a.m. CDT",35863,36011,35539,-324
ERCO,"7/2/2017 8 a.m. CDT",36571,36586,36150,-420
ERCO,"7/2/2017 9 a.m. CDT",39660,39287,39534,-127
ERCO,"7/2/2017 10 a.m. CDT",43424,42561,43412,-13
ERCO,"7/2/2017 11 a.m. CDT",47063,46361,47126,62
ERCO,"7/2/2017 12 p.m. CDT",50650,49804,50618,-32
ERCO,"7/2/2017 1 p.m. CDT",53691,52999,53630,-61
ERCO,"7/2/2017 2 p.m. CDT",56292,55683,56550,257
ERCO,"7/2/2017 3 p.m. CDT",58497,58535,58801,303
ERCO,"7/2/2017 4 p.m. CDT",60035,60636,59892,-143
ERCO,"7/2/2017 5 p.m. CDT",61010,61969,60811,-200
ERCO,"7/2/2017 6 p.m. CDT",61338,62250,61097,-241
ERCO,"7/2/2017 7 p.m. CDT",60401,61511,60399,-3
ERCO,"7/2/2017 8 p.m. CDT",58530,59621,58486,-45
ERCO,"7/2/2017 9 p.m. CDT",56199,56808,56153,-47
ERCO,"7/2/2017 10 p.m. CDT",54928,55522,54850,-79
ERCO,"7/2/2017 11 p.m. CDT",51888,52083,51636,-252
ERCO,"7/3/2017 12 a.m. CDT",48312,48260,48054,-258
ERCO,"7/3/2017 1 a.m. CDT",44842,45156,44736,-107
ERCO,"7/3/2017 2 a.m. CDT",42283,42398,42219,-65
ERCO,"7/3/2017 3 a.m. CDT",40632,40687,40640,7
ERCO,"7/3/2017 4 a.m. CDT",39483,39424,39491,7
ERCO,"7/3/2017 5 a.m. CDT",39184,39081,39191,7
ERCO,"7/3/2017 6 a.m. CDT",39792,39836,39795,2
ERCO,"7/3/2017 7 a.m. CDT",40476,41042,40682,204
ERCO,"7/3/2017 8 a.m. CDT",41244,42195,41439,194
ERCO,"7/3/2017 9 a.m. CDT",43880,45097,44169,288
ERCO,"7/3/2017 10 a.m. CDT",47204,47998,47496,291
ERCO,"7/3/2017 11 a.m. CDT",50722,51407,50937,213
ERCO,"7/3/2017 12 p.m. CDT",54329,54533,54276,-54
ERCO,"7/3/2017 1 p.m. CDT",57407,57960,57598,189
ERCO,"7/3/2017 2 p.m. CDT",59995,60746,60047,52
ERCO,"7/3/2017 3 p.m. CDT",62070,63335,61924,-146
ERCO,"7/3/2017 4 p.m. CDT",63498,64550,63307,-192
ERCO,"7/3/2017 5 p.m. CDT",64134,65806,63893,-241
ERCO,"7/3/2017 6 p.m. CDT",63947,65227,63705,-242
ERCO,"7/3/2017 7 p.m. CDT",62377,63480,62462,85
ERCO,"7/3/2017 8 p.m. CDT",59854,60998,59812,-44
ERCO,"7/3/2017 9 p.m. CDT",57454,58960,57411,-44
ERCO,"7/3/2017 10 p.m. CDT",55548,56907,55531,-18
ERCO,"7/3/2017 11 p.m. CDT",52167,53132,52109,-59
ERCO,"7/4/2017 12 a.m. CDT",48629,49000,48678,48
ERCO,"7/4/2017 1 a.m. CDT",45324,46359,45278,-46
ERCO,"7/4/2017 2 a.m. CDT",42766,43748,42790,24
ERCO,"7/4/2017 3 a.m. CDT",40287,41686,40314,26
ERCO,"7/4/2017 4 a.m. CDT",38227,40575,38254,26
ERCO,"7/4/2017 5 a.m. CDT",37408,39959,37435,26
ERCO,"7/4/2017 6 a.m. CDT",37352,39883,37377,25
ERCO,"7/4/2017 7 a.m. CDT",37284,39522,37563,279
ERCO,"7/4/2017 8 a.m. CDT",37358,39567,37637,278
ERCO,"7/4/2017 9 a.m. CDT",39553,41955,39832,278
ERCO,"7/4/2017 10 a.m. CDT",43087,45166,43411,324
ERCO,"7/4/2017 11 a.m. CDT",47037,48434,47386,348
ERCO,"7/4/2017 12 p.m. CDT",50784,51975,50850,66
ERCO,"7/4/2017 1 p.m. CDT",54263,54734,54191,-72
ERCO,"7/4/2017 2 p.m. CDT",57256,57698,57111,-144
ERCO,"7/4/2017 3 p.m. CDT",59617,59044,59354,-264
ERCO,"7/4/2017 4 p.m. CDT",61344,60553,60711,-633
ERCO,"7/4/2017 5 p.m. CDT",62284,61870,61883,-401
ERCO,"7/4/2017 6 p.m. CDT",62231,61264,61982,-248
ERCO,"7/4/2017 7 p.m. CDT",60808,60242,60754,-54
ERCO,"7/4/2017 8 p.m. CDT",58317,58137,58271,-47
ERCO,"7/4/2017 9 p.m. CDT",55742,56021,55701,-42
ERCO,"7/4/2017 10 p.m. CDT",53650,53722,53611,-40
ERCO,"7/4/2017 11 p.m. CDT",51100,50442,51036,-64
ERCO,"7/5/2017 12 a.m. CDT",48061,46969,48157,96
ERCO,"7/5/2017 1 a.m. CDT",44632,44017,44511,-121
ERCO,"7/5/2017 2 a.m. CDT",41936,41358,41815,-121
ERCO,"7/5/2017 3 a.m. CDT",40105,39419,39985,-121
ERCO,"7/5/2017 4 a.m. CDT",38990,38280,38869,-121
ERCO,"7/5/2017 5 a.m. CDT",38802,38072,38684,-118
ERCO,"7/5/2017 6 a.m. CDT",39885,39089,39759,-126
ERCO,"7/5/2017 7 a.m. CDT",41441,40680,41411,-30
ERCO,"7/5/2017 8 a.m. CDT",42503,41630,42476,-28
ERCO,"7/5/2017 9 a.m. CDT",44715,44021,44690,-26
ERCO,"7/5/2017 10 a.m. CDT",47682,47263,47730,48
ERCO,"7/5/2017 11 a.m. CDT",51141,50799,51403,260
ERCO,"7/5/2017 12 p.m. CDT",54569,54439,54406,-164
ERCO,"7/5/2017 1 p.m. CDT",57862,57491,57605,-257
ERCO,"7/5/2017 2 p.m. CDT",60986,60271,60693,-293
ERCO,"7/5/2017 3 p.m. CDT",63483,62287,62853,-630
ERCO,"7/5/2017 4 p.m. CDT",65213,63591,64407,-806
ERCO,"7/5/2017 5 p.m. CDT",65899,64183,65219,-680
ERCO,"7/5/2017 6 p.m. CDT",64998,63773,64566,-432
ERCO,"7/5/2017 7 p.m. CDT",62350,62224,62227,-123
ERCO,"7/5/2017 8 p.m. CDT",59268,59946,59368,99
ERCO,"7/5/2017 9 p.m. CDT",56606,57830,56865,257
ERCO,"7/5/2017 10 p.m. CDT",54294,56196,54266,-28
ERCO,"7/5/2017 11 p.m. CDT",50594,52449,50559,-36
ERCO,"7/6/2017 12 a.m. CDT",46558,48287,46527,-31
ERCO,"7/6/2017 1 a.m. CDT",43174,44855,43275,100
ERCO,"7/6/2017 2 a.m. CDT",40645,42144,40749,103
ERCO,"7/6/2017 3 a.m. CDT",38848,40126,38952,103
ERCO,"7/6/2017 4 a.m. CDT",37721,38930,37825,103
ERCO,"7/6/2017 5 a.m. CDT",37476,38661,37580,103
ERCO,"7/6/2017 6 a.m. CDT",38413,39715,38514,100
ERCO,"7/6/2017 7 a.m. CDT",39805,41203,40096,289
ERCO,"7/6/2017 8 a.m. CDT",41220,42011,41516,295
ERCO,"7/6/2017 9 a.m. CDT",44109,44337,44405,294
ERCO,"7/6/2017 10 a.m. CDT",47559,47644,47899,339
ERCO,"7/6/2017 11 a.m. CDT",51193,51301,51393,198
ERCO,"7/6/2017 12 p.m. CDT",54623,55047,54619,-5
ERCO,"7/6/2017 1 p.m. CDT",57784,58183,57779,-6
ERCO,"7/6/2017 2 p.m. CDT",60702,61023,60569,-133
ERCO,"7/6/2017 3 p.m. CDT",62812,63072,62488,-324
ERCO,"7/6/2017 4 p.m. CDT",64115,64247,63782,-333
ERCO,"7/6/2017 5 p.m. CDT",64438,64929,64112,-327
ERCO,"7/6/2017 6 p.m. CDT",63433,64506,63317,-117
ERCO,"7/6/2017 7 p.m. CDT",61757,62726,61744,-15
ERCO,"7/6/2017 8 p.m. CDT",59530,60436,59559,27
ERCO,"7/6/2017 9 p.m. CDT",57128,58408,57204,73
ERCO,"7/6/2017 10 p.m. CDT",55393,56724,55631,237
ERCO,"7/6/2017 11 p.m. CDT",51836,53024,51861,24
ERCO,"7/7/2017 12 a.m. CDT",47665,48818,47703,37
ERCO,"7/7/2017 1 a.m. CDT",44054,45131,44161,106
ERCO,"7/7/2017 2 a.m. CDT",41298,42593,41369,70
ERCO,"7/7/2017 3 a.m. CDT",39397,39957,39461,63
ERCO,"7/7/2017 4 a.m. CDT",38118,38975,38182,63
ERCO,"7/7/2017 5 a.m. CDT",37817,38823,37924,106
ERCO,"7/7/2017 6 a.m. CDT",38596,39600,38704,107
ERCO,"7/7/2017 7 a.m. CDT",39927,41001,40225,297
ERCO,"7/7/2017 8 a.m. CDT",41541,42204,41844,302
ERCO,"7/7/2017 9 a.m. CDT",44812,44541,45134,320
ERCO,"7/7/2017 10 a.m. CDT",48603,48098,48947,343
ERCO,"7/7/2017 11 a.m. CDT",52642,51864,52819,176
ERCO,"7/7/2017 12 p.m. CDT",56470,54976,56422,-49
ERCO,"7/7/2017 1 p.m. CDT",59652,58846,59547,-106
ERCO,"7/7/2017 2 p.m. CDT",62192,61491,61658,-535
ERCO,"7/7/2017 3 p.m. CDT",63822,63790,63149,-674
ERCO,"7/7/2017 4 p.m. CDT",64125,66045,63689,-437
ERCO,"7/7/2017 5 p.m. CDT",62838,66557,62463,-376
ERCO,"7/7/2017 6 p.m. CDT",60820,65476,60545,-277
ERCO,"7/7/2017 7 p.m. CDT",58741,64745,58822,79
ERCO,"7/7/2017 8 p.m. CDT",56440,60814,56570,128
ERCO,"7/7/2017 9 p.m. CDT",54537,58410,54723,185
ERCO,"7/7/2017 10 p.m. CDT",53071,56172,53282,210
ERCO,"7/7/2017 11 p.m. CDT",49962,52681,49941,-22
ERCO,"7/8/2017 12 a.m. CDT",46527,49557,46633,105
ERCO,"7/8/2017 1 a.m. CDT",43278,45568,43230,-48
ERCO,"7/8/2017 2 a.m. CDT",40757,42553,40688,-69
