"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
BANC,"5/1/2020 12 a.m. PDT",1600,1631,1203,-358
BANC,"5/1/2020 1 a.m. PDT",1473,1464,1018,-418
BANC,"5/1/2020 2 a.m. PDT",1407,1398,991,-381
BANC,"5/1/2020 3 a.m. PDT",1353,1356,984,-340
BANC,"5/1/2020 4 a.m. PDT",1336,1327,1005,-314
BANC,"5/1/2020 5 a.m. PDT",1343,1343,1028,-298
BANC,"5/1/2020 6 a.m. PDT",1405,1403,1138,-252
BANC,"5/1/2020 7 a.m. PDT",1447,1462,1492,61
BANC,"5/1/2020 8 a.m. PDT",1502,1536,1270,-214
BANC,"5/1/2020 9 a.m. PDT",1502,1596,1268,-214
BANC,"5/1/2020 10 a.m. PDT",1593,1627,1454,-138
BANC,"5/1/2020 11 a.m. PDT",1627,1660,1638,8
BANC,"5/1/2020 12 p.m. PDT",1683,1694,1376,-302
BANC,"5/1/2020 1 p.m. PDT",1719,1739,1427,-297
BANC,"5/1/2020 2 p.m. PDT",1833,1787,1481,-351
BANC,"5/1/2020 3 p.m. PDT",1817,1845,1389,-429
BANC,"5/1/2020 4 p.m. PDT",1897,1912,1421,-477
BANC,"5/1/2020 5 p.m. PDT",2000,1999,1531,-472
BANC,"5/1/2020 6 p.m. PDT",2080,2060,1880,-201
BANC,"5/1/2020 7 p.m. PDT",2067,2042,1984,-90
BANC,"5/1/2020 8 p.m. PDT",1983,1986,2091,106
BANC,"5/1/2020 9 p.m. PDT",1959,1963,2052,87
BANC,"5/1/2020 10 p.m. PDT",1865,1877,1884,9
BANC,"5/1/2020 11 p.m. PDT",1722,1728,1502,-232
BANC,"5/2/2020 12 a.m. PDT",1596,1579,1297,-308
BANC,"5/2/2020 1 a.m. PDT",1496,1448,1296,-203
BANC,"5/2/2020 2 a.m. PDT",1413,1376,1108,-306
BANC,"5/2/2020 3 a.m. PDT",1362,1322,1029,-339
BANC,"5/2/2020 4 a.m. PDT",1337,1294,967,-371
BANC,"5/2/2020 5 a.m. PDT",1316,1287,988,-330
BANC,"5/2/2020 6 a.m. PDT",1331,1290,1026,-308
BANC,"5/2/2020 7 a.m. PDT",1331,1268,1126,-209
BANC,"5/2/2020 8 a.m. PDT",1354,1310,1198,-157
BANC,"5/2/2020 9 a.m. PDT",1406,1404,1264,-147
BANC,"5/2/2020 10 a.m. PDT",1460,1482,1230,-229
BANC,"5/2/2020 11 a.m. PDT",1499,1524,1230,-271
BANC,"5/2/2020 12 p.m. PDT",1538,1545,1248,-288
BANC,"5/2/2020 1 p.m. PDT",1580,1570,1283,-300
BANC,"5/2/2020 2 p.m. PDT",1630,1597,1309,-323
BANC,"5/2/2020 3 p.m. PDT",1682,1619,1278,-407
BANC,"5/2/2020 4 p.m. PDT",1716,1668,1286,-430
BANC,"5/2/2020 5 p.m. PDT",1754,1690,1316,-441
BANC,"5/2/2020 6 p.m. PDT",1780,1719,1445,-337
BANC,"5/2/2020 7 p.m. PDT",1776,1744,1803,23
BANC,"5/2/2020 8 p.m. PDT",1798,1721,1932,131
BANC,"5/2/2020 9 p.m. PDT",1828,1746,1971,140
BANC,"5/2/2020 10 p.m. PDT",1773,1699,1798,22
BANC,"5/2/2020 11 p.m. PDT",1664,1595,1513,-154
BANC,"5/3/2020 12 a.m. PDT",1534,1490,1152,-391
BANC,"5/3/2020 1 a.m. PDT",1466,1410,1164,-304
BANC,"5/3/2020 2 a.m. PDT",1396,1337,1000,-401
BANC,"5/3/2020 3 a.m. PDT",1351,1291,995,-360
BANC,"5/3/2020 4 a.m. PDT",1321,1257,999,-326
BANC,"5/3/2020 5 a.m. PDT",1301,1244,1108,-199
BANC,"5/3/2020 6 a.m. PDT",1314,1246,1080,-233
BANC,"5/3/2020 7 a.m. PDT",1286,1215,946,-345
BANC,"5/3/2020 8 a.m. PDT",1296,1258,933,-366
BANC,"5/3/2020 9 a.m. PDT",1343,1353,1146,-201
BANC,"5/3/2020 10 a.m. PDT",1414,1423,1178,-235
BANC,"5/3/2020 11 a.m. PDT",1436,1484,1174,-267
BANC,"5/3/2020 12 p.m. PDT",1469,1523,1188,-282
BANC,"5/3/2020 1 p.m. PDT",1497,1551,1236,-262
BANC,"5/3/2020 2 p.m. PDT",1523,1580,1281,-243
BANC,"5/3/2020 3 p.m. PDT",1560,1612,1278,-282
BANC,"5/3/2020 4 p.m. PDT",1622,1652,1320,-308
BANC,"5/3/2020 5 p.m. PDT",1707,1718,1429,-277
BANC,"5/3/2020 6 p.m. PDT",1802,1807,1461,-344
BANC,"5/3/2020 7 p.m. PDT",1860,1822,1892,30
BANC,"5/3/2020 8 p.m. PDT",1835,1797,2015,173
BANC,"5/3/2020 9 p.m. PDT",1866,1836,2099,229
BANC,"5/3/2020 10 p.m. PDT",1774,1764,1935,154
BANC,"5/3/2020 11 p.m. PDT",1633,1606,1470,-170
BANC,"5/4/2020 12 a.m. PDT",1512,1470,1282,-236
BANC,"5/4/2020 1 a.m. PDT",1412,1378,1039,-374
BANC,"5/4/2020 2 a.m. PDT",1341,1317,1039,-308
BANC,"5/4/2020 3 a.m. PDT",1302,1290,1025,-283
BANC,"5/4/2020 4 a.m. PDT",1299,1276,1004,-300
BANC,"5/4/2020 5 a.m. PDT",1315,1305,1077,-239
BANC,"5/4/2020 6 a.m. PDT",1382,1379,1267,-121
BANC,"5/4/2020 7 a.m. PDT",1442,1454,1266,-177
BANC,"5/4/2020 8 a.m. PDT",1503,1533,1277,-228
BANC,"5/4/2020 9 a.m. PDT",1567,1584,1319,-249
BANC,"5/4/2020 10 a.m. PDT",1603,1628,1282,-320
BANC,"5/4/2020 11 a.m. PDT",1638,1662,1277,-362
BANC,"5/4/2020 12 p.m. PDT",1678,1707,1294,-381
BANC,"5/4/2020 1 p.m. PDT",1726,1757,1317,-411
BANC,"5/4/2020 2 p.m. PDT",1769,1807,1347,-424
BANC,"5/4/2020 3 p.m. PDT",1829,1864,1361,-465
BANC,"5/4/2020 4 p.m. PDT",1908,1914,1393,-518
BANC,"5/4/2020 5 p.m. PDT",2001,1981,1373,-631
BANC,"5/4/2020 6 p.m. PDT",2053,2054,1595,-461
BANC,"5/4/2020 7 p.m. PDT",2081,2049,1895,-190
BANC,"5/4/2020 8 p.m. PDT",2038,2005,2077,36
BANC,"5/4/2020 9 p.m. PDT",2035,1994,2083,44
BANC,"5/4/2020 10 p.m. PDT",1912,1891,1987,66
BANC,"5/4/2020 11 p.m. PDT",1768,1714,1897,121
BANC,"5/5/2020 12 a.m. PDT",1600,1562,1640,31
BANC,"5/5/2020 1 a.m. PDT",1491,1454,1264,-237
BANC,"5/5/2020 2 a.m. PDT",1408,1369,1142,-272
BANC,"5/5/2020 3 a.m. PDT",1366,1328,1012,-362
BANC,"5/5/2020 4 a.m. PDT",1338,1305,1174,-169
BANC,"5/5/2020 5 a.m. PDT",1357,1317,1114,-250
BANC,"5/5/2020 6 a.m. PDT",1425,1385,1159,-270
BANC,"5/5/2020 7 a.m. PDT",1468,1446,1329,-150
BANC,"5/5/2020 8 a.m. PDT",1529,1521,1168,-379
BANC,"5/5/2020 9 a.m. PDT",1575,1572,1126,-468
BANC,"5/5/2020 10 a.m. PDT",1628,1616,1136,-506
BANC,"5/5/2020 11 a.m. PDT",1657,1661,1152,-522
BANC,"5/5/2020 12 p.m. PDT",1719,1716,1202,-533
BANC,"5/5/2020 1 p.m. PDT",1808,1777,1286,-537
BANC,"5/5/2020 2 p.m. PDT",1857,1845,1287,-587
BANC,"5/5/2020 3 p.m. PDT",1968,1916,1338,-650
BANC,"5/5/2020 4 p.m. PDT",2058,2007,1366,-708
BANC,"5/5/2020 5 p.m. PDT",2146,2117,1418,-747
BANC,"5/5/2020 6 p.m. PDT",2193,2185,1661,-549
BANC,"5/5/2020 7 p.m. PDT",2163,2154,1725,-460
BANC,"5/5/2020 8 p.m. PDT",2084,2085,1877,-227
BANC,"5/5/2020 9 p.m. PDT",2060,2059,1771,-308
BANC,"5/5/2020 10 p.m. PDT",1942,1936,1677,-284
BANC,"5/5/2020 11 p.m. PDT",1786,1761,1402,-401
BANC,"5/6/2020 12 a.m. PDT",1623,1578,1114,-530
BANC,"5/6/2020 1 a.m. PDT",1515,1465,1281,-252
BANC,"5/6/2020 2 a.m. PDT",1439,1394,1049,-409
BANC,"5/6/2020 3 a.m. PDT",1400,1346,1024,-394
BANC,"5/6/2020 4 a.m. PDT",1378,1323,1006,-390
BANC,"5/6/2020 5 a.m. PDT",1386,1334,1015,-387
BANC,"5/6/2020 6 a.m. PDT",1441,1383,1235,-222
BANC,"5/6/2020 7 a.m. PDT",1492,1430,1429,-82
BANC,"5/6/2020 8 a.m. PDT",1542,1506,1399,-162
BANC,"5/6/2020 9 a.m. PDT",1604,1556,1330,-290
BANC,"5/6/2020 10 a.m. PDT",1639,1605,1318,-324
BANC,"5/6/2020 11 a.m. PDT",1666,1649,1428,-243
BANC,"5/6/2020 12 p.m. PDT",1714,1698,1380,-337
BANC,"5/6/2020 1 p.m. PDT",1756,1754,1388,-370
BANC,"5/6/2020 2 p.m. PDT",1800,1816,1403,-398
BANC,"5/6/2020 3 p.m. PDT",1865,1888,1505,-363
BANC,"5/6/2020 4 p.m. PDT",1953,1969,1522,-429
BANC,"5/6/2020 5 p.m. PDT",2058,2055,1446,-617
BANC,"5/6/2020 6 p.m. PDT",2142,2132,1572,-576
BANC,"5/6/2020 7 p.m. PDT",2140,2104,1891,-255
BANC,"5/6/2020 8 p.m. PDT",2083,2050,1899,-188
BANC,"5/6/2020 9 p.m. PDT",2060,2064,1914,-154
BANC,"5/6/2020 10 p.m. PDT",1961,1957,1714,-253
BANC,"5/6/2020 11 p.m. PDT",1784,1785,1364,-426
BANC,"5/7/2020 12 a.m. PDT",1628,1607,1264,-369
BANC,"5/7/2020 1 a.m. PDT",1527,1498,1085,-445
BANC,"5/7/2020 2 a.m. PDT",1450,1428,1027,-431
BANC,"5/7/2020 3 a.m. PDT",1401,1382,1033,-377
BANC,"5/7/2020 4 a.m. PDT",1374,1356,1026,-353
BANC,"5/7/2020 5 a.m. PDT",1379,1369,1019,-367
BANC,"5/7/2020 6 a.m. PDT",1446,1444,1132,-320
BANC,"5/7/2020 7 a.m. PDT",1489,1501,1284,-209
BANC,"5/7/2020 8 a.m. PDT",1545,1573,1264,-283
BANC,"5/7/2020 9 a.m. PDT",1634,1641,1228,-409
BANC,"5/7/2020 10 a.m. PDT",1660,1712,1187,-475
BANC,"5/7/2020 11 a.m. PDT",1723,1801,1262,-465
BANC,"5/7/2020 12 p.m. PDT",1799,1899,1323,-476
BANC,"5/7/2020 1 p.m. PDT",1901,2020,1406,-497
BANC,"5/7/2020 2 p.m. PDT",2015,2147,1373,-647
BANC,"5/7/2020 3 p.m. PDT",2161,2305,1473,-691
BANC,"5/7/2020 4 p.m. PDT",2339,2452,1472,-874
BANC,"5/7/2020 5 p.m. PDT",2509,2609,1543,-972
BANC,"5/7/2020 6 p.m. PDT",2601,2683,1512,-1092
BANC,"5/7/2020 7 p.m. PDT",2608,2606,2056,-555
BANC,"5/7/2020 8 p.m. PDT",2486,2483,2066,-425
BANC,"5/7/2020 9 p.m. PDT",2389,2415,1879,-518
BANC,"5/7/2020 10 p.m. PDT",2226,2243,1919,-314
BANC,"5/7/2020 11 p.m. PDT",2000,1997,1776,-231
BANC,"5/8/2020 12 a.m. PDT",1790,1772,1469,-330
BANC,"5/8/2020 1 a.m. PDT",1641,1607,1458,-186
BANC,"5/8/2020 2 a.m. PDT",1527,1505,1412,-118
BANC,"5/8/2020 3 a.m. PDT",1457,1440,1175,-288
BANC,"5/8/2020 4 a.m. PDT",1423,1404,1187,-240
BANC,"5/8/2020 5 a.m. PDT",1414,1404,1229,-190
BANC,"5/8/2020 6 a.m. PDT",1464,1451,1386,-80
BANC,"5/8/2020 7 a.m. PDT",1511,1509,1340,-175
BANC,"5/8/2020 8 a.m. PDT",1589,1597,1304,-291
BANC,"5/8/2020 9 a.m. PDT",1686,1701,1175,-509
BANC,"5/8/2020 10 a.m. PDT",1756,1805,1120,-639
BANC,"5/8/2020 11 a.m. PDT",1867,1919,1182,-685
BANC,"5/8/2020 12 p.m. PDT",2010,2051,1229,-782
BANC,"5/8/2020 1 p.m. PDT",2192,2221,1248,-950
BANC,"5/8/2020 2 p.m. PDT",2417,2405,1309,-1112
BANC,"5/8/2020 3 p.m. PDT",2629,2584,1447,-1186
BANC,"5/8/2020 4 p.m. PDT",2810,2755,1562,-1255
BANC,"5/8/2020 5 p.m. PDT",2939,2914,1612,-1330
BANC,"5/8/2020 6 p.m. PDT",2957,2989,1818,-1138
BANC,"5/8/2020 7 p.m. PDT",2866,2899,2035,-836
BANC,"5/8/2020 8 p.m. PDT",2706,2723,2113,-602
BANC,"5/8/2020 9 p.m. PDT",2592,2591,1935,-667
BANC,"5/8/2020 10 p.m. PDT",2397,2406,1794,-616
BANC,"5/8/2020 11 p.m. PDT",2159,2160,1748,-423
BANC,"5/9/2020 12 a.m. PDT",1936,1926,1589,-357
BANC,"5/9/2020 1 a.m. PDT",1755,1711,1518,-243
BANC,"5/9/2020 2 a.m. PDT",1618,1581,1208,-415
BANC,"5/9/2020 3 a.m. PDT",1524,1496,1235,-295
BANC,"5/9/2020 4 a.m. PDT",1464,1437,1180,-289
BANC,"5/9/2020 5 a.m. PDT",1443,1407,1203,-246
BANC,"5/9/2020 6 a.m. PDT",1430,1394,1303,-134
BANC,"5/9/2020 7 a.m. PDT",1420,1366,1287,-138
BANC,"5/9/2020 8 a.m. PDT",1451,1411,1126,-326
BANC,"5/9/2020 9 a.m. PDT",1525,1534,1000,-527
BANC,"5/9/2020 10 a.m. PDT",1606,1640,1026,-585
BANC,"5/9/2020 11 a.m. PDT",1724,1755,1054,-670
BANC,"5/9/2020 12 p.m. PDT",1853,1881,1104,-748
BANC,"5/9/2020 1 p.m. PDT",2027,2029,1154,-871
BANC,"5/9/2020 2 p.m. PDT",2206,2194,1257,-952
BANC,"5/9/2020 3 p.m. PDT",2412,2351,1426,-988
BANC,"5/9/2020 4 p.m. PDT",2596,2507,1418,-1184
BANC,"5/9/2020 5 p.m. PDT",2743,2645,1516,-1229
BANC,"5/9/2020 6 p.m. PDT",2806,2714,1805,-1004
BANC,"5/9/2020 7 p.m. PDT",2754,2660,2105,-654
BANC,"5/9/2020 8 p.m. PDT",2568,2499,1999,-571
BANC,"5/9/2020 9 p.m. PDT",2400,2360,1956,-452
BANC,"5/9/2020 10 p.m. PDT",2214,2190,1754,-474
BANC,"5/9/2020 11 p.m. PDT",1972,1965,1561,-423
BANC,"5/10/2020 12 a.m. PDT",1778,1756,1487,-303
BANC,"5/10/2020 1 a.m. PDT",1622,1573,1325,-301
BANC,"5/10/2020 2 a.m. PDT",1497,1473,1121,-383
BANC,"5/10/2020 3 a.m. PDT",1432,1403,1034,-403
BANC,"5/10/2020 4 a.m. PDT",1387,1355,1014,-378
BANC,"5/10/2020 5 a.m. PDT",1359,1329,1058,-306
BANC,"5/10/2020 6 a.m. PDT",1359,1311,1154,-208
BANC,"5/10/2020 7 a.m. PDT",1323,1260,1143,-187
BANC,"5/10/2020 8 a.m. PDT",1355,1303,1139,-219
BANC,"5/10/2020 9 a.m. PDT",1404,1394,1098,-309
BANC,"5/10/2020 10 a.m. PDT",1471,1484,1130,-343
BANC,"5/10/2020 11 a.m. PDT",1527,1558,1145,-386
BANC,"5/10/2020 12 p.m. PDT",1571,1632,1183,-391
BANC,"5/10/2020 1 p.m. PDT",1625,1704,1200,-428
BANC,"5/10/2020 2 p.m. PDT",1693,1789,1291,-408
BANC,"5/10/2020 3 p.m. PDT",1778,1880,1271,-509
BANC,"5/10/2020 4 p.m. PDT",1872,1990,1248,-625
BANC,"5/10/2020 5 p.m. PDT",1966,2110,1273,-697
BANC,"5/10/2020 6 p.m. PDT",2046,2174,1284,-765
BANC,"5/10/2020 7 p.m. PDT",2026,2141,1735,-295
BANC,"5/10/2020 8 p.m. PDT",1927,2053,1880,-52
BANC,"5/10/2020 9 p.m. PDT",1906,2010,1876,-34
BANC,"5/10/2020 10 p.m. PDT",1825,1909,1681,-150
BANC,"5/10/2020 11 p.m. PDT",1684,1736,1442,-248
BANC,"5/11/2020 12 a.m. PDT",1555,1571,1279,-286
BANC,"5/11/2020 1 a.m. PDT",1443,1414,1153,-298
BANC,"5/11/2020 2 a.m. PDT",1379,1349,1117,-267
BANC,"5/11/2020 3 a.m. PDT",1340,1311,1065,-282
BANC,"5/11/2020 4 a.m. PDT",1322,1296,1062,-266
BANC,"5/11/2020 5 a.m. PDT",1358,1316,1097,-263
BANC,"5/11/2020 6 a.m. PDT",1409,1377,1134,-281
BANC,"5/11/2020 7 a.m. PDT",1446,1447,1228,-229
BANC,"5/11/2020 8 a.m. PDT",1522,1532,1124,-404
BANC,"5/11/2020 9 a.m. PDT",1587,1596,1150,-438
BANC,"5/11/2020 10 a.m. PDT",1644,1648,1183,-468
BANC,"5/11/2020 11 a.m. PDT",1689,1700,1298,-391
BANC,"5/11/2020 12 p.m. PDT",1743,1745,1458,-287
BANC,"5/11/2020 1 p.m. PDT",1802,1784,1471,-337
BANC,"5/11/2020 2 p.m. PDT",1824,1817,1343,-484
BANC,"5/11/2020 3 p.m. PDT",1881,1846,1509,-376
BANC,"5/11/2020 4 p.m. PDT",1879,1878,1300,-584
BANC,"5/11/2020 5 p.m. PDT",1877,1896,1257,-627
BANC,"5/11/2020 6 p.m. PDT",1862,1907,1368,-502
