"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
BANC,"8/1/2016 12 a.m. PDT",2132,2406,1313,-819
BANC,"8/1/2016 1 a.m. PDT",1912,1941,1338,-574
BANC,"8/1/2016 2 a.m. PDT",1773,1773,1274,-499
BANC,"8/1/2016 3 a.m. PDT",1679,1685,1212,-467
BANC,"8/1/2016 4 a.m. PDT",1641,1632,1173,-468
BANC,"8/1/2016 5 a.m. PDT",1649,1639,1216,-433
BANC,"8/1/2016 6 a.m. PDT",1714,1714,1253,-461
BANC,"8/1/2016 7 a.m. PDT",1798,1784,1456,-342
BANC,"8/1/2016 8 a.m. PDT",1899,1897,1531,-368
BANC,"8/1/2016 9 a.m. PDT",2006,2054,1603,-403
BANC,"8/1/2016 10 a.m. PDT",2137,2221,1673,-464
BANC,"8/1/2016 11 a.m. PDT",2269,2396,1808,-461
BANC,"8/1/2016 12 p.m. PDT",2433,2615,1983,-450
BANC,"8/1/2016 1 p.m. PDT",2633,2811,2004,-629
BANC,"8/1/2016 2 p.m. PDT",2893,3069,2445,-448
BANC,"8/1/2016 3 p.m. PDT",3114,3325,2585,-529
BANC,"8/1/2016 4 p.m. PDT",3307,3545,2558,-749
BANC,"8/1/2016 5 p.m. PDT",3452,3695,2697,-755
BANC,"8/1/2016 6 p.m. PDT",3490,3729,2720,-770
BANC,"8/1/2016 7 p.m. PDT",3389,3631,2677,-712
BANC,"8/1/2016 8 p.m. PDT",3180,3458,2535,-645
BANC,"8/1/2016 9 p.m. PDT",2976,3229,2221,-755
BANC,"8/1/2016 10 p.m. PDT",2726,2968,1986,-740
BANC,"8/1/2016 11 p.m. PDT",2404,2606,1739,-665
BANC,"8/2/2016 12 a.m. PDT",2108,2285,1419,-689
BANC,"8/2/2016 1 a.m. PDT",1899,1934,1355,-544
BANC,"8/2/2016 2 a.m. PDT",1754,1779,1247,-507
BANC,"8/2/2016 3 a.m. PDT",1665,1690,1176,-489
BANC,"8/2/2016 4 a.m. PDT",1624,1638,1150,-474
BANC,"8/2/2016 5 a.m. PDT",1637,1642,1190,-447
BANC,"8/2/2016 6 a.m. PDT",1719,1712,1270,-449
BANC,"8/2/2016 7 a.m. PDT",1792,1780,1435,-357
BANC,"8/2/2016 8 a.m. PDT",1894,1887,1545,-349
BANC,"8/2/2016 9 a.m. PDT",1989,2036,1521,-468
BANC,"8/2/2016 10 a.m. PDT",2104,2202,1647,-457
BANC,"8/2/2016 11 a.m. PDT",2234,2361,1759,-475
BANC,"8/2/2016 12 p.m. PDT",2387,2568,1849,-538
BANC,"8/2/2016 1 p.m. PDT",2577,2763,1899,-678
BANC,"8/2/2016 2 p.m. PDT",2807,2998,2273,-534
BANC,"8/2/2016 3 p.m. PDT",3076,3270,2426,-650
BANC,"8/2/2016 4 p.m. PDT",3329,3491,2604,-725
BANC,"8/2/2016 5 p.m. PDT",3534,3654,2769,-765
BANC,"8/2/2016 6 p.m. PDT",3649,3691,2842,-807
BANC,"8/2/2016 7 p.m. PDT",3588,3606,2822,-766
BANC,"8/2/2016 8 p.m. PDT",3420,3424,2691,-729
BANC,"8/2/2016 9 p.m. PDT",3219,3211,2357,-862
BANC,"8/2/2016 10 p.m. PDT",2984,2953,2196,-788
BANC,"8/2/2016 11 p.m. PDT",2615,2588,1982,-633
BANC,"8/3/2016 12 a.m. PDT",2284,2270,1688,-596
BANC,"8/3/2016 1 a.m. PDT",2036,1946,1557,-479
BANC,"8/3/2016 2 a.m. PDT",1870,1798,1402,-468
BANC,"8/3/2016 3 a.m. PDT",1763,1697,1318,-445
BANC,"8/3/2016 4 a.m. PDT",1707,1654,1262,-445
BANC,"8/3/2016 5 a.m. PDT",1720,1658,1292,-428
BANC,"8/3/2016 6 a.m. PDT",1800,1728,1415,-385
BANC,"8/3/2016 7 a.m. PDT",1858,1807,1523,-335
BANC,"8/3/2016 8 a.m. PDT",1972,1923,1619,-353
BANC,"8/3/2016 9 a.m. PDT",2093,2039,1635,-458
BANC,"8/3/2016 10 a.m. PDT",2260,2172,1861,-400
BANC,"8/3/2016 11 a.m. PDT",2456,2343,1951,-505
BANC,"8/3/2016 12 p.m. PDT",2700,2533,2035,-665
BANC,"8/3/2016 1 p.m. PDT",2982,2757,2197,-785
BANC,"8/3/2016 2 p.m. PDT",3293,3037,2516,-777
BANC,"8/3/2016 3 p.m. PDT",3577,3285,2764,-813
BANC,"8/3/2016 4 p.m. PDT",3816,3517,2836,-980
