"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
BANC,"9/1/2020 12 a.m. PDT",2172,2206,1363,-998
BANC,"9/1/2020 1 a.m. PDT",1998,1966,1390,-797
BANC,"9/1/2020 2 a.m. PDT",1871,1841,1384,-678
BANC,"9/1/2020 3 a.m. PDT",1785,1756,1392,-583
BANC,"9/1/2020 4 a.m. PDT",1750,1701,1454,-489
BANC,"9/1/2020 5 a.m. PDT",1749,1696,1557,-396
BANC,"9/1/2020 6 a.m. PDT",1824,1760,1617,-409
BANC,"9/1/2020 7 a.m. PDT",1907,1882,2024,-104
BANC,"9/1/2020 8 a.m. PDT",1973,1962,1845,-313
BANC,"9/1/2020 9 a.m. PDT",2056,2037,1593,-648
BANC,"9/1/2020 10 a.m. PDT",2123,2141,1558,-680
BANC,"9/1/2020 11 a.m. PDT",2228,2256,1602,-752
BANC,"9/1/2020 12 p.m. PDT",2369,2413,1732,-824
BANC,"9/1/2020 1 p.m. PDT",2577,2596,1809,-945
BANC,"9/1/2020 2 p.m. PDT",2854,2827,1964,-1072
BANC,"9/1/2020 3 p.m. PDT",3021,3052,1993,-1210
BANC,"9/1/2020 4 p.m. PDT",3234,3256,2212,-1204
BANC,"9/1/2020 5 p.m. PDT",3350,3406,2529,-1000
BANC,"9/1/2020 6 p.m. PDT",3310,3425,2776,-718
BANC,"9/1/2020 7 p.m. PDT",3130,3322,2966,-345
BANC,"9/1/2020 8 p.m. PDT",2888,3139,2694,-377
BANC,"9/1/2020 9 p.m. PDT",2730,2936,2497,-415
BANC,"9/1/2020 10 p.m. PDT",2479,2678,1710,-953
BANC,"9/1/2020 11 p.m. PDT",2236,2386,1459,-961
BANC,"9/2/2020 12 a.m. PDT",2007,2122,1373,-820
BANC,"9/2/2020 1 a.m. PDT",1858,1870,1454,-587
BANC,"9/2/2020 2 a.m. PDT",1752,1765,1394,-541
BANC,"9/2/2020 3 a.m. PDT",1694,1708,1345,-532
BANC,"9/2/2020 4 a.m. PDT",1650,1669,1351,-479
BANC,"9/2/2020 5 a.m. PDT",1609,1680,1298,-492
BANC,"9/2/2020 6 a.m. PDT",1678,1753,1350,-514
BANC,"9/2/2020 7 a.m. PDT",1803,1874,1791,-195
BANC,"9/2/2020 8 a.m. PDT",1888,1935,1652,-419
BANC,"9/2/2020 9 a.m. PDT",1947,2005,1626,-512
BANC,"9/2/2020 10 a.m. PDT",1999,2081,1652,-523
BANC,"9/2/2020 11 a.m. PDT",2049,2176,1642,-591
BANC,"9/2/2020 12 p.m. PDT",2112,2284,1680,-611
BANC,"9/2/2020 1 p.m. PDT",2245,2435,1766,-660
BANC,"9/2/2020 2 p.m. PDT",2400,2634,1817,-767
BANC,"9/2/2020 3 p.m. PDT",2600,2851,1906,-871
BANC,"9/2/2020 4 p.m. PDT",2794,3062,2157,-823
BANC,"9/2/2020 5 p.m. PDT",2975,3236,2597,-571
BANC,"9/2/2020 6 p.m. PDT",3053,3274,2655,-581
BANC,"9/2/2020 7 p.m. PDT",2954,3184,2787,-368
BANC,"9/2/2020 8 p.m. PDT",2823,3021,2726,-286
BANC,"9/2/2020 9 p.m. PDT",2700,2855,2429,-457
BANC,"9/2/2020 10 p.m. PDT",2485,2615,1958,-716
BANC,"9/2/2020 11 p.m. PDT",2213,2342,1750,-666
BANC,"9/3/2020 12 a.m. PDT",1996,2086,1469,-719
BANC,"9/3/2020 1 a.m. PDT",1839,1853,1427,-603
BANC,"9/3/2020 2 a.m. PDT",1722,1746,1452,-466
BANC,"9/3/2020 3 a.m. PDT",1651,1687,1318,-526
BANC,"9/3/2020 4 a.m. PDT",1611,1644,1333,-474
BANC,"9/3/2020 5 a.m. PDT",1619,1658,1348,-468
BANC,"9/3/2020 6 a.m. PDT",1703,1734,1428,-457
BANC,"9/3/2020 7 a.m. PDT",1792,1862,1798,-181
BANC,"9/3/2020 8 a.m. PDT",1848,1928,1710,-324
BANC,"9/3/2020 9 a.m. PDT",1926,2002,1663,-448
BANC,"9/3/2020 10 a.m. PDT",1994,2078,1707,-470
BANC,"9/3/2020 11 a.m. PDT",2077,2184,1709,-550
BANC,"9/3/2020 12 p.m. PDT",2212,2315,1797,-596
BANC,"9/3/2020 1 p.m. PDT",2393,2483,1842,-727
BANC,"9/3/2020 2 p.m. PDT",2622,2699,2055,-744
BANC,"9/3/2020 3 p.m. PDT",2887,2926,2378,-721
BANC,"9/3/2020 4 p.m. PDT",3145,3154,2851,-517
BANC,"9/3/2020 5 p.m. PDT",3314,3327,3183,-358
BANC,"9/3/2020 6 p.m. PDT",3326,3372,3293,-245
BANC,"9/3/2020 7 p.m. PDT",3199,3271,3273,-162
BANC,"9/3/2020 8 p.m. PDT",2995,3086,3008,-190
BANC,"9/3/2020 9 p.m. PDT",2827,2898,2989,-63
BANC,"9/3/2020 10 p.m. PDT",2572,2631,2621,-187
BANC,"9/3/2020 11 p.m. PDT",2297,2350,2199,-311
BANC,"9/4/2020 12 a.m. PDT",2052,2096,1992,-278
BANC,"9/4/2020 1 a.m. PDT",1900,1868,1853,-249
BANC,"9/4/2020 2 a.m. PDT",1766,1738,1792,-178
BANC,"9/4/2020 3 a.m. PDT",1692,1667,1634,-248
BANC,"9/4/2020 4 a.m. PDT",1641,1623,1638,-193
BANC,"9/4/2020 5 a.m. PDT",1647,1628,1754,-79
BANC,"9/4/2020 6 a.m. PDT",1706,1703,1895,-24
BANC,"9/4/2020 7 a.m. PDT",1805,1821,2217,193
BANC,"9/4/2020 8 a.m. PDT",1852,1881,2111,55
BANC,"9/4/2020 9 a.m. PDT",1947,1957,1903,-233
BANC,"9/4/2020 10 a.m. PDT",2020,2053,1926,-278
BANC,"9/4/2020 11 a.m. PDT",2142,2220,1980,-341
BANC,"9/4/2020 12 p.m. PDT",2275,2359,2046,-414
BANC,"9/4/2020 1 p.m. PDT",2496,2543,2339,-362
BANC,"9/4/2020 2 p.m. PDT",2749,2779,2648,-341
BANC,"9/4/2020 3 p.m. PDT",3031,3017,2830,-453
BANC,"9/4/2020 4 p.m. PDT",3268,3243,3177,-357
BANC,"9/4/2020 5 p.m. PDT",3429,3420,3212,-460
BANC,"9/4/2020 6 p.m. PDT",3449,3452,3402,-300
BANC,"9/4/2020 7 p.m. PDT",3328,3332,3447,-140
BANC,"9/4/2020 8 p.m. PDT",3149,3132,3268,-136
BANC,"9/4/2020 9 p.m. PDT",2963,2947,3084,-121
BANC,"9/4/2020 10 p.m. PDT",2728,2696,2780,-188
BANC,"9/4/2020 11 p.m. PDT",2456,2431,2237,-434
BANC,"9/5/2020 12 a.m. PDT",2211,2180,2163,-259
BANC,"9/5/2020 1 a.m. PDT",2024,1993,1655,-567
BANC,"9/5/2020 2 a.m. PDT",1882,1852,1649,-433
BANC,"9/5/2020 3 a.m. PDT",1783,1756,1561,-411
BANC,"9/5/2020 4 a.m. PDT",1697,1681,1641,-250
BANC,"9/5/2020 5 a.m. PDT",1680,1651,1679,-196
BANC,"9/5/2020 6 a.m. PDT",1676,1660,1558,-312
BANC,"9/5/2020 7 a.m. PDT",1710,1689,1754,-145
BANC,"9/5/2020 8 a.m. PDT",1711,1732,1758,-147
BANC,"9/5/2020 9 a.m. PDT",1809,1860,1770,-228
BANC,"9/5/2020 10 a.m. PDT",1962,2016,1831,-319
BANC,"9/5/2020 11 a.m. PDT",2189,2198,1897,-479
BANC,"9/5/2020 12 p.m. PDT",2472,2415,2011,-644
BANC,"9/5/2020 1 p.m. PDT",2782,2670,2122,-846
BANC,"9/5/2020 2 p.m. PDT",3111,2960,2230,-1063
