"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
BANC,"5/1/2019 12 a.m. PDT",-1083773,1581,1144,1084919
BANC,"5/1/2019 1 a.m. PDT",1411,1426,1067,-349
BANC,"5/1/2019 2 a.m. PDT",1343,1355,1060,-284
BANC,"5/1/2019 3 a.m. PDT",1320,1325,1056,-268
BANC,"5/1/2019 4 a.m. PDT",1309,1318,1044,-265
BANC,"5/1/2019 5 a.m. PDT",1339,1375,1044,-296
BANC,"5/1/2019 6 a.m. PDT",1447,1481,1089,-361
BANC,"5/1/2019 7 a.m. PDT",-1083690,1615,1565,1085255
BANC,"5/1/2019 8 a.m. PDT",1657,1683,1494,-162
BANC,"5/1/2019 9 a.m. PDT",-540969,1698,1273,542239
BANC,"5/1/2019 10 a.m. PDT",1677,1718,1157,-519
BANC,"5/1/2019 11 a.m. PDT",1691,1729,960,-736
BANC,"5/1/2019 12 p.m. PDT",-1626202,1751,960,1627162
BANC,"5/1/2019 1 p.m. PDT",-2168824,1771,1127,2169948
BANC,"5/1/2019 2 p.m. PDT",-2168792,1805,1116,2169906
BANC,"5/1/2019 3 p.m. PDT",-1082471,1834,2018,1084487
BANC,"5/1/2019 4 p.m. PDT",1905,1870,1062,-847
BANC,"5/1/2019 5 p.m. PDT",1897,1929,1013,-888
BANC,"5/1/2019 6 p.m. PDT",29942,1962,29128,-818
BANC,"5/1/2019 7 p.m. PDT",-540673,1981,1631,542300
BANC,"5/1/2019 8 p.m. PDT",1986,2016,1733,-257
BANC,"5/1/2019 9 p.m. PDT",2021,2050,1723,-302
BANC,"5/1/2019 10 p.m. PDT",1929,1974,1639,-299
BANC,"5/1/2019 11 p.m. PDT",-540900,1778,1192,542084
BANC,"5/2/2019 12 a.m. PDT",-541069,1618,1166,542228
BANC,"5/2/2019 1 a.m. PDT",1451,1460,1081,-374
BANC,"5/2/2019 2 a.m. PDT",1392,1379,1064,-331
BANC,"5/2/2019 3 a.m. PDT",1351,1343,944,-410
BANC,"5/2/2019 4 a.m. PDT",1345,1327,1052,-297
BANC,"5/2/2019 5 a.m. PDT",1392,1362,1061,-331
BANC,"5/2/2019 6 a.m. PDT",1475,1454,1164,-309
BANC,"5/2/2019 7 a.m. PDT",1587,1590,1736,152
BANC,"5/2/2019 8 a.m. PDT",-540976,1662,1597,542572
BANC,"5/2/2019 9 a.m. PDT",-540950,1687,1259,542209
BANC,"5/2/2019 10 a.m. PDT",30030,1704,29483,-544
BANC,"5/2/2019 11 a.m. PDT",1738,1724,1189,-552
BANC,"5/2/2019 12 p.m. PDT",-1083495,1755,1272,1084768
BANC,"5/2/2019 1 p.m. PDT",-540824,1787,1321,542144
BANC,"5/2/2019 2 p.m. PDT",1860,1835,1302,-560
BANC,"5/2/2019 3 p.m. PDT",1906,1887,1324,-585
BANC,"5/2/2019 4 p.m. PDT",1970,1942,1302,-669
BANC,"5/2/2019 5 p.m. PDT",-548467,2006,1264,549729
BANC,"5/2/2019 6 p.m. PDT",2093,2044,1380,-713
BANC,"5/2/2019 7 p.m. PDT",2093,2050,1680,-414
BANC,"5/2/2019 8 p.m. PDT",2068,2003,1892,-176
BANC,"5/2/2019 9 p.m. PDT",2103,2055,1904,-201
BANC,"5/2/2019 10 p.m. PDT",1997,1984,1858,-142
BANC,"5/2/2019 11 p.m. PDT",-548706,1803,1458,550158
BANC,"5/3/2019 12 a.m. PDT",1614,1626,1273,-346
BANC,"5/3/2019 1 a.m. PDT",-1099519,1499,1373,1100886
BANC,"5/3/2019 2 a.m. PDT",1407,1415,1364,-49
BANC,"5/3/2019 3 a.m. PDT",1374,1369,1378,2
BANC,"5/3/2019 4 a.m. PDT",1352,1351,1391,36
BANC,"5/3/2019 5 a.m. PDT",1379,1370,1416,36
BANC,"5/3/2019 6 a.m. PDT",1479,1456,1574,95
BANC,"5/3/2019 7 a.m. PDT",1603,1567,1796,195
BANC,"5/3/2019 8 a.m. PDT",1661,1638,1776,115
BANC,"5/3/2019 9 a.m. PDT",1702,1678,1200,-499
BANC,"5/3/2019 10 a.m. PDT",1732,1713,1236,-495
BANC,"5/3/2019 11 a.m. PDT",1762,1746,1322,-444
BANC,"5/3/2019 12 p.m. PDT",-548686,1777,1344,550031
BANC,"5/3/2019 1 p.m. PDT",-548630,1810,1297,549931
BANC,"5/3/2019 2 p.m. PDT",1921,1872,1347,-575
BANC,"5/3/2019 3 p.m. PDT",1987,1943,1355,-633
BANC,"5/3/2019 4 p.m. PDT",2065,2008,1631,-430
BANC,"5/3/2019 5 p.m. PDT",31706,2076,31095,-610
BANC,"5/3/2019 6 p.m. PDT",2185,2114,1541,-645
BANC,"5/3/2019 7 p.m. PDT",2188,2074,1783,-406
BANC,"5/3/2019 8 p.m. PDT",70284,2061,2055,-68231
BANC,"5/3/2019 9 p.m. PDT",2124,2099,1943,-182
BANC,"5/3/2019 10 p.m. PDT",2012,2022,1799,-220
BANC,"5/3/2019 11 p.m. PDT",1837,1851,1637,-208
BANC,"5/4/2019 12 a.m. PDT",-548855,1671,1343,550193
BANC,"5/4/2019 1 a.m. PDT",-1099478,1524,1400,1100873
BANC,"5/4/2019 2 a.m. PDT",-549084,1431,1228,550306
BANC,"5/4/2019 3 a.m. PDT",1363,1370,1186,-182
BANC,"5/4/2019 4 a.m. PDT",1330,1342,1106,-223
BANC,"5/4/2019 5 a.m. PDT",31210,1335,31105,-103
BANC,"5/4/2019 6 a.m. PDT",1358,1356,1430,70
BANC,"5/4/2019 7 a.m. PDT",1369,1362,1523,154
BANC,"5/4/2019 8 a.m. PDT",-1099592,1395,1574,1101163
BANC,"5/4/2019 9 a.m. PDT",1478,1482,1096,-385
BANC,"5/4/2019 10 a.m. PDT",-548982,1549,1135,550119
BANC,"5/4/2019 11 a.m. PDT",-1099438,1599,1143,1100580
BANC,"5/4/2019 12 p.m. PDT",-1649910,1619,1212,1651119
BANC,"5/4/2019 1 p.m. PDT",-2200379,1652,1217,2201598
BANC,"5/4/2019 2 p.m. PDT",-2200347,1698,1220,2201571
BANC,"5/4/2019 3 p.m. PDT",-2200268,1763,1273,2201549
BANC,"5/4/2019 4 p.m. PDT",-2200201,1736,1329,2201531
BANC,"5/4/2019 5 p.m. PDT",-2200102,1796,1488,2201592
BANC,"5/4/2019 6 p.m. PDT",-548533,1846,1472,550001
BANC,"5/4/2019 7 p.m. PDT",-1649511,1842,1640,1651155
BANC,"5/4/2019 8 p.m. PDT",-548552,1860,1832,550382
BANC,"5/4/2019 9 p.m. PDT",1952,1915,1829,-124
BANC,"5/4/2019 10 p.m. PDT",1850,1872,1679,-175
BANC,"5/4/2019 11 p.m. PDT",1706,1743,1462,-247
BANC,"5/5/2019 12 a.m. PDT",1542,1591,1297,-246
BANC,"5/5/2019 1 a.m. PDT",1430,1434,1399,-31
