"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
BANC,"3/1/2016 12 a.m. PST",1598,1640,1094,-504
BANC,"3/1/2016 1 a.m. PST",1485,1510,959,-526
BANC,"3/1/2016 2 a.m. PST",1433,1457,906,-527
BANC,"3/1/2016 3 a.m. PST",1411,1435,906,-505
BANC,"3/1/2016 4 a.m. PST",1423,1441,917,-506
BANC,"3/1/2016 5 a.m. PST",1472,1501,975,-497
BANC,"3/1/2016 6 a.m. PST",1600,1630,1027,-573
BANC,"3/1/2016 7 a.m. PST",1781,1840,1158,-623
BANC,"3/1/2016 8 a.m. PST",1854,1901,1253,-601
BANC,"3/1/2016 9 a.m. PST",1868,1886,1256,-612
BANC,"3/1/2016 10 a.m. PST",1854,1860,1219,-635
BANC,"3/1/2016 11 a.m. PST",1866,1863,1234,-632
BANC,"3/1/2016 12 p.m. PST",1870,1862,1245,-625
BANC,"3/1/2016 1 p.m. PST",1853,1876,1223,-630
BANC,"3/1/2016 2 p.m. PST",1872,1888,1252,-620
BANC,"3/1/2016 3 p.m. PST",1876,1898,1264,-612
BANC,"3/1/2016 4 p.m. PST",1878,1885,1265,-613
BANC,"3/1/2016 5 p.m. PST",1892,1887,1285,-607
BANC,"3/1/2016 6 p.m. PST",1960,1939,1422,-538
BANC,"3/1/2016 7 p.m. PST",2093,2084,1697,-396
BANC,"3/1/2016 8 p.m. PST",2097,2067,1612,-485
BANC,"3/1/2016 9 p.m. PST",2034,1984,1453,-581
BANC,"3/1/2016 10 p.m. PST",1909,1876,1254,-655
BANC,"3/1/2016 11 p.m. PST",1739,1745,1155,-584
BANC,"3/2/2016 12 a.m. PST",1590,1608,1040,-550
BANC,"3/2/2016 1 a.m. PST",1496,1519,906,-590
BANC,"3/2/2016 2 a.m. PST",1441,1457,867,-574
BANC,"3/2/2016 3 a.m. PST",1408,1434,808,-600
BANC,"3/2/2016 4 a.m. PST",1409,1432,824,-585
BANC,"3/2/2016 5 a.m. PST",1480,1486,885,-595
BANC,"3/2/2016 6 a.m. PST",1592,1623,990,-602
BANC,"3/2/2016 7 a.m. PST",1760,1815,1046,-714
BANC,"3/2/2016 8 a.m. PST",1825,1893,1117,-708
BANC,"3/2/2016 9 a.m. PST",1825,1868,1134,-691
BANC,"3/2/2016 10 a.m. PST",1815,1859,1129,-686
BANC,"3/2/2016 11 a.m. PST",1838,1864,1150,-688
BANC,"3/2/2016 12 p.m. PST",1856,1868,1186,-670
BANC,"3/2/2016 1 p.m. PST",1873,1873,1219,-654
BANC,"3/2/2016 2 p.m. PST",1910,1880,1261,-649
BANC,"3/2/2016 3 p.m. PST",1906,1885,1235,-671
BANC,"3/2/2016 4 p.m. PST",1911,1884,1244,-667
BANC,"3/2/2016 5 p.m. PST",1911,1900,1270,-641
BANC,"3/2/2016 6 p.m. PST",1980,1967,1598,-382
BANC,"3/2/2016 7 p.m. PST",2092,2082,1679,-413
BANC,"3/2/2016 8 p.m. PST",2093,2081,1693,-400
BANC,"3/2/2016 9 p.m. PST",2015,2013,1329,-686
BANC,"3/2/2016 10 p.m. PST",1872,1901,1151,-721
BANC,"3/2/2016 11 p.m. PST",1728,1749,1090,-638
BANC,"3/3/2016 12 a.m. PST",1593,1611,984,-609
BANC,"3/3/2016 1 a.m. PST",1480,1508,847,-633
BANC,"3/3/2016 2 a.m. PST",1439,1452,824,-615
BANC,"3/3/2016 3 a.m. PST",1421,1421,796,-625
BANC,"3/3/2016 4 a.m. PST",1414,1420,793,-621
BANC,"3/3/2016 5 a.m. PST",1463,1468,844,-619
BANC,"3/3/2016 6 a.m. PST",1574,1596,968,-606
BANC,"3/3/2016 7 a.m. PST",1742,1767,1044,-698
BANC,"3/3/2016 8 a.m. PST",1838,1851,1130,-708
BANC,"3/3/2016 9 a.m. PST",1846,1885,1146,-700
BANC,"3/3/2016 10 a.m. PST",1881,1892,1172,-709
BANC,"3/3/2016 11 a.m. PST",1916,1914,1204,-712
BANC,"3/3/2016 12 p.m. PST",1917,1895,1153,-764
BANC,"3/3/2016 1 p.m. PST",1909,1884,1184,-725
BANC,"3/3/2016 2 p.m. PST",1897,1879,1175,-722
BANC,"3/3/2016 3 p.m. PST",1883,1876,1159,-724
BANC,"3/3/2016 4 p.m. PST",1884,1862,1209,-675
BANC,"3/3/2016 5 p.m. PST",1881,1878,1213,-668
BANC,"3/3/2016 6 p.m. PST",1955,1968,1293,-662
BANC,"3/3/2016 7 p.m. PST",2075,2107,1609,-466
BANC,"3/3/2016 8 p.m. PST",2077,2089,1356,-721
BANC,"3/3/2016 9 p.m. PST",2020,2026,1310,-710
BANC,"3/3/2016 10 p.m. PST",1906,1919,1230,-676
BANC,"3/3/2016 11 p.m. PST",1769,1771,1156,-613
BANC,"3/4/2016 12 a.m. PST",1630,1631,1018,-612
BANC,"3/4/2016 1 a.m. PST",1492,1504,963,-529
BANC,"3/4/2016 2 a.m. PST",1445,1440,931,-514
BANC,"3/4/2016 3 a.m. PST",1419,1418,903,-516
BANC,"3/4/2016 4 a.m. PST",1416,1409,917,-499
BANC,"3/4/2016 5 a.m. PST",1460,1453,968,-492
BANC,"3/4/2016 6 a.m. PST",1566,1576,1067,-499
BANC,"3/4/2016 7 a.m. PST",1733,1759,1152,-581
BANC,"3/4/2016 8 a.m. PST",1816,1837,1211,-605
BANC,"3/4/2016 9 a.m. PST",1853,1847,1211,-642
BANC,"3/4/2016 10 a.m. PST",1860,1848,1213,-647
BANC,"3/4/2016 11 a.m. PST",1894,1874,1239,-655
BANC,"3/4/2016 12 p.m. PST",1944,1873,1291,-653
BANC,"3/4/2016 1 p.m. PST",1952,1864,1295,-657
BANC,"3/4/2016 2 p.m. PST",1981,1862,1327,-654
BANC,"3/4/2016 3 p.m. PST",1959,1860,1320,-639
BANC,"3/4/2016 4 p.m. PST",1925,1850,1268,-657
BANC,"3/4/2016 5 p.m. PST",1957,1861,1296,-661
BANC,"3/4/2016 6 p.m. PST",2013,1926,1450,-563
BANC,"3/4/2016 7 p.m. PST",2081,2026,1636,-445
BANC,"3/4/2016 8 p.m. PST",2023,2037,1381,-642
BANC,"3/4/2016 9 p.m. PST",1968,1984,1242,-726
BANC,"3/4/2016 10 p.m. PST",1879,1895,1209,-670
BANC,"3/4/2016 11 p.m. PST",1741,1759,1185,-556
BANC,"3/5/2016 12 a.m. PST",1626,1613,1104,-522
BANC,"3/5/2016 1 a.m. PST",1515,1541,1012,-503
BANC,"3/5/2016 2 a.m. PST",1470,1483,963,-507
BANC,"3/5/2016 3 a.m. PST",1420,1449,906,-514
BANC,"3/5/2016 4 a.m. PST",1404,1434,900,-504
BANC,"3/5/2016 5 a.m. PST",1417,1446,889,-528
BANC,"3/5/2016 6 a.m. PST",1460,1505,941,-519
BANC,"3/5/2016 7 a.m. PST",1514,1589,913,-601
BANC,"3/5/2016 8 a.m. PST",1533,1620,948,-585
BANC,"3/5/2016 9 a.m. PST",1639,1703,1052,-587
BANC,"3/5/2016 10 a.m. PST",1745,1730,1146,-599
BANC,"3/5/2016 11 a.m. PST",1806,1740,1200,-606
BANC,"3/5/2016 12 p.m. PST",1828,1742,1200,-628
BANC,"3/5/2016 1 p.m. PST",1853,1721,1219,-634
BANC,"3/5/2016 2 p.m. PST",1807,1690,1133,-674
BANC,"3/5/2016 3 p.m. PST",1779,1683,1091,-688
BANC,"3/5/2016 4 p.m. PST",1797,1669,1116,-681
BANC,"3/5/2016 5 p.m. PST",1825,1688,1120,-705
BANC,"3/5/2016 6 p.m. PST",1915,1772,1382,-533
BANC,"3/5/2016 7 p.m. PST",1983,1935,1616,-367
