"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
BANC,"12/1/2018 12 a.m. PST",1692,1746,1246,-454
BANC,"12/1/2018 1 a.m. PST",1605,1660,1193,-418
BANC,"12/1/2018 2 a.m. PST",1541,1586,1115,-433
BANC,"12/1/2018 3 a.m. PST",1504,1551,1074,-435
BANC,"12/1/2018 4 a.m. PST",1499,1539,1074,-428
BANC,"12/1/2018 5 a.m. PST",1509,1546,1079,-436
BANC,"12/1/2018 6 a.m. PST",1581,1612,1131,-455
BANC,"12/1/2018 7 a.m. PST",1657,1708,1180,-484
BANC,"12/1/2018 8 a.m. PST",1729,1786,1189,-545
BANC,"12/1/2018 9 a.m. PST",1805,1867,1340,-471
BANC,"12/1/2018 10 a.m. PST",1861,1911,1410,-456
BANC,"12/1/2018 11 a.m. PST",1878,1881,1389,-495
BANC,"12/1/2018 12 p.m. PST",1842,1858,1310,-533
BANC,"12/1/2018 1 p.m. PST",1776,1826,1143,-640
BANC,"12/1/2018 2 p.m. PST",1763,1801,1244,-523
BANC,"12/1/2018 3 p.m. PST",1752,1779,1365,-392
BANC,"12/1/2018 4 p.m. PST",1775,1816,1430,-349
BANC,"12/1/2018 5 p.m. PST",1871,1935,1604,-271
BANC,"12/1/2018 6 p.m. PST",2035,2146,1954,-84
BANC,"12/1/2018 7 p.m. PST",2029,2146,2014,-16
BANC,"12/1/2018 8 p.m. PST",2007,2131,1769,-242
BANC,"12/1/2018 9 p.m. PST",1979,2110,1740,-239
BANC,"12/1/2018 10 p.m. PST",1909,2042,1730,-184
BANC,"12/1/2018 11 p.m. PST",1815,1941,1737,-80
BANC,"12/2/2018 12 a.m. PST",1693,1850,1641,-55
BANC,"12/2/2018 1 a.m. PST",1622,1719,1667,43
BANC,"12/2/2018 2 a.m. PST",1560,1658,1573,10
BANC,"12/2/2018 3 a.m. PST",1532,1627,1545,12
BANC,"12/2/2018 4 a.m. PST",1524,1624,1547,19
BANC,"12/2/2018 5 a.m. PST",1547,1646,1581,30
BANC,"12/2/2018 6 a.m. PST",1616,1709,1666,50
BANC,"12/2/2018 7 a.m. PST",1707,1797,1814,105
BANC,"12/2/2018 8 a.m. PST",1775,1851,1788,11
BANC,"12/2/2018 9 a.m. PST",1804,1918,1708,-99
BANC,"12/2/2018 10 a.m. PST",1806,1950,1677,-131
BANC,"12/2/2018 11 a.m. PST",1778,1945,1628,-151
BANC,"12/2/2018 12 p.m. PST",1751,1928,1545,-208
BANC,"12/2/2018 1 p.m. PST",1730,1891,1600,-131
BANC,"12/2/2018 2 p.m. PST",1725,1863,1493,-233
BANC,"12/2/2018 3 p.m. PST",1730,1852,1534,-198
BANC,"12/2/2018 4 p.m. PST",1776,1880,1734,-46
BANC,"12/2/2018 5 p.m. PST",1926,1999,1925,-7
BANC,"12/2/2018 6 p.m. PST",2137,2247,2156,19
BANC,"12/2/2018 7 p.m. PST",2164,2288,2143,-25
BANC,"12/2/2018 8 p.m. PST",2152,2288,2107,-50
BANC,"12/2/2018 9 p.m. PST",2117,2262,2078,-42
BANC,"12/2/2018 10 p.m. PST",2019,2166,2021,-1
BANC,"12/2/2018 11 p.m. PST",1858,2010,1879,18
BANC,"12/3/2018 12 a.m. PST",1729,1858,1800,68
BANC,"12/3/2018 1 a.m. PST",1648,1728,1824,173
BANC,"12/3/2018 2 a.m. PST",1608,1680,1764,152
BANC,"12/3/2018 3 a.m. PST",1594,1664,1745,148
BANC,"12/3/2018 4 a.m. PST",1624,1681,1756,128
BANC,"12/3/2018 5 a.m. PST",1696,1746,1912,210
BANC,"12/3/2018 6 a.m. PST",1863,1898,2058,194
BANC,"12/3/2018 7 a.m. PST",2105,2138,2172,62
BANC,"12/3/2018 8 a.m. PST",2198,2248,2189,-11
BANC,"12/3/2018 9 a.m. PST",2152,2214,2124,-31
BANC,"12/3/2018 10 a.m. PST",2079,2192,2015,-65
BANC,"12/3/2018 11 a.m. PST",2021,2145,1972,-50
BANC,"12/3/2018 12 p.m. PST",1960,2103,1855,-107
BANC,"12/3/2018 1 p.m. PST",1947,2063,1865,-82
BANC,"12/3/2018 2 p.m. PST",1922,2037,1831,-91
BANC,"12/3/2018 3 p.m. PST",1923,2018,1875,-47
BANC,"12/3/2018 4 p.m. PST",1958,2033,1950,-12
BANC,"12/3/2018 5 p.m. PST",2101,2177,2081,-25
BANC,"12/3/2018 6 p.m. PST",2277,2387,2285,1
BANC,"12/3/2018 7 p.m. PST",2287,2411,2199,-94
BANC,"12/3/2018 8 p.m. PST",2243,2399,2153,-92
BANC,"12/3/2018 9 p.m. PST",2189,2348,2084,-110
BANC,"12/3/2018 10 p.m. PST",2059,2226,2015,-48
BANC,"12/3/2018 11 p.m. PST",1883,2048,1852,-35
BANC,"12/4/2018 12 a.m. PST",1727,1879,1666,-64
BANC,"12/4/2018 1 a.m. PST",1629,1714,1531,-100
BANC,"12/4/2018 2 a.m. PST",1563,1650,1478,-88
BANC,"12/4/2018 3 a.m. PST",1542,1626,1476,-70
BANC,"12/4/2018 4 a.m. PST",1537,1629,1544,3
BANC,"12/4/2018 5 a.m. PST",1601,1693,1711,105
BANC,"12/4/2018 6 a.m. PST",1738,1819,1854,111
BANC,"12/4/2018 7 a.m. PST",1955,2013,1956,-5
BANC,"12/4/2018 8 a.m. PST",2081,2116,2086,1
BANC,"12/4/2018 9 a.m. PST",2074,2118,2057,-20
BANC,"12/4/2018 10 a.m. PST",2080,2131,2070,-16
BANC,"12/4/2018 11 a.m. PST",2091,2111,2059,-35
