"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ISNE,"7/1/2017 12 a.m. EDT",14338,15310,12089,-2249
ISNE,"7/1/2017 1 a.m. EDT",13341,13180,11068,-2273
ISNE,"7/1/2017 2 a.m. EDT",12700,12410,10703,-1997
ISNE,"7/1/2017 3 a.m. EDT",12461,11920,10146,-2315
ISNE,"7/1/2017 4 a.m. EDT",12154,11790,9874,-2280
ISNE,"7/1/2017 5 a.m. EDT",12059,11680,9743,-2316
ISNE,"7/1/2017 6 a.m. EDT",12329,11830,9758,-2571
ISNE,"7/1/2017 7 a.m. EDT",12674,12360,10115,-2559
ISNE,"7/1/2017 8 a.m. EDT",13418,13420,11254,-2164
ISNE,"7/1/2017 9 a.m. EDT",14649,14700,12741,-1908
ISNE,"7/1/2017 10 a.m. EDT",15420,15670,13299,-2121
ISNE,"7/1/2017 11 a.m. EDT",16419,16540,14182,-2237
ISNE,"7/1/2017 12 p.m. EDT",17308,17080,14983,-2325
ISNE,"7/1/2017 1 p.m. EDT",17904,17390,15397,-2507
ISNE,"7/1/2017 2 p.m. EDT",18180,17520,15485,-2695
ISNE,"7/1/2017 3 p.m. EDT",18283,17750,15430,-2853
ISNE,"7/1/2017 4 p.m. EDT",18327,18010,15646,-2681
ISNE,"7/1/2017 5 p.m. EDT",18254,18040,15954,-2300
ISNE,"7/1/2017 6 p.m. EDT",18127,18200,15603,-2524
ISNE,"7/1/2017 7 p.m. EDT",17834,17930,15259,-2575
ISNE,"7/1/2017 8 p.m. EDT",17454,17580,14976,-2478
ISNE,"7/1/2017 9 p.m. EDT",17242,17310,14849,-2393
ISNE,"7/1/2017 10 p.m. EDT",16743,16890,14203,-2540
ISNE,"7/1/2017 11 p.m. EDT",15935,15750,13131,-2804
ISNE,"7/2/2017 12 a.m. EDT",14783,14480,12111,-2672
ISNE,"7/2/2017 1 a.m. EDT",13815,13480,11024,-2791
ISNE,"7/2/2017 2 a.m. EDT",13566,12770,10627,-2939
ISNE,"7/2/2017 3 a.m. EDT",13079,12260,9954,-3125
ISNE,"7/2/2017 4 a.m. EDT",12745,11940,9716,-3029
ISNE,"7/2/2017 5 a.m. EDT",12685,11790,9749,-2936
ISNE,"7/2/2017 6 a.m. EDT",12761,11770,9893,-2868
ISNE,"7/2/2017 7 a.m. EDT",13085,12040,9964,-3121
ISNE,"7/2/2017 8 a.m. EDT",13707,12780,10690,-3017
ISNE,"7/2/2017 9 a.m. EDT",14406,13790,11735,-2671
ISNE,"7/2/2017 10 a.m. EDT",15028,14700,12539,-2489
ISNE,"7/2/2017 11 a.m. EDT",15733,15710,13382,-2351
ISNE,"7/2/2017 12 p.m. EDT",16312,16420,14117,-2195
ISNE,"7/2/2017 1 p.m. EDT",16784,17080,14684,-2100
ISNE,"7/2/2017 2 p.m. EDT",17194,17500,15015,-2179
ISNE,"7/2/2017 3 p.m. EDT",17597,17950,15500,-2097
ISNE,"7/2/2017 4 p.m. EDT",18072,18630,15861,-2211
ISNE,"7/2/2017 5 p.m. EDT",18625,19130,16497,-2128
ISNE,"7/2/2017 6 p.m. EDT",19076,19250,16917,-2159
ISNE,"7/2/2017 7 p.m. EDT",19128,19030,16888,-2240
ISNE,"7/2/2017 8 p.m. EDT",18582,18800,16233,-2349
ISNE,"7/2/2017 9 p.m. EDT",18001,18600,15719,-2282
ISNE,"7/2/2017 10 p.m. EDT",17508,17770,15114,-2394
ISNE,"7/2/2017 11 p.m. EDT",16265,16340,13643,-2622
ISNE,"7/3/2017 12 a.m. EDT",15101,14800,12435,-2666
ISNE,"7/3/2017 1 a.m. EDT",14212,13620,11604,-2608
ISNE,"7/3/2017 2 a.m. EDT",13673,12850,11078,-2595
ISNE,"7/3/2017 3 a.m. EDT",13400,12320,10955,-2445
ISNE,"7/3/2017 4 a.m. EDT",13313,11980,10745,-2568
ISNE,"7/3/2017 5 a.m. EDT",13311,12010,10552,-2759
ISNE,"7/3/2017 6 a.m. EDT",13567,12450,10766,-2801
ISNE,"7/3/2017 7 a.m. EDT",14230,13470,11713,-2517
ISNE,"7/3/2017 8 a.m. EDT",14864,14780,12557,-2307
ISNE,"7/3/2017 9 a.m. EDT",15531,15790,13509,-2022
ISNE,"7/3/2017 10 a.m. EDT",16403,16620,14541,-1862
ISNE,"7/3/2017 11 a.m. EDT",17042,17500,15091,-1951
ISNE,"7/3/2017 12 p.m. EDT",17644,18150,15595,-2049
ISNE,"7/3/2017 1 p.m. EDT",17950,18620,15954,-1996
ISNE,"7/3/2017 2 p.m. EDT",18259,19040,16239,-2020
ISNE,"7/3/2017 3 p.m. EDT",18498,19310,16488,-2010
ISNE,"7/3/2017 4 p.m. EDT",18829,19500,17001,-1828
ISNE,"7/3/2017 5 p.m. EDT",19285,19740,17471,-1814
ISNE,"7/3/2017 6 p.m. EDT",19536,19900,17665,-1871
ISNE,"7/3/2017 7 p.m. EDT",19262,19250,16940,-2322
ISNE,"7/3/2017 8 p.m. EDT",18427,18600,15879,-2548
ISNE,"7/3/2017 9 p.m. EDT",17503,18060,15075,-2428
ISNE,"7/3/2017 10 p.m. EDT",16722,17270,14824,-1898
ISNE,"7/3/2017 11 p.m. EDT",15360,15720,13212,-2148
ISNE,"7/4/2017 12 a.m. EDT",14248,14250,12115,-2133
ISNE,"7/4/2017 1 a.m. EDT",13317,12790,11127,-2190
ISNE,"7/4/2017 2 a.m. EDT",12677,11950,10529,-2148
ISNE,"7/4/2017 3 a.m. EDT",12366,11370,9888,-2478
ISNE,"7/4/2017 4 a.m. EDT",12219,10990,9646,-2573
ISNE,"7/4/2017 5 a.m. EDT",12112,10850,9550,-2562
ISNE,"7/4/2017 6 a.m. EDT",12046,10810,9418,-2628
ISNE,"7/4/2017 7 a.m. EDT",12191,10990,9531,-2660
ISNE,"7/4/2017 8 a.m. EDT",12439,11940,10176,-2263
ISNE,"7/4/2017 9 a.m. EDT",13007,12840,11124,-1883
