"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ISNE,"5/1/2018 12 a.m. EDT",10970,10830,8950,-2020
ISNE,"5/1/2018 1 a.m. EDT",10781,9940,8589,-2192
ISNE,"5/1/2018 2 a.m. EDT",10602,9650,8292,-2310
ISNE,"5/1/2018 3 a.m. EDT",10437,9470,8083,-2354
ISNE,"5/1/2018 4 a.m. EDT",10427,9510,8101,-2326
ISNE,"5/1/2018 5 a.m. EDT",10737,9740,8649,-2088
ISNE,"5/1/2018 6 a.m. EDT",11479,10620,9629,-1850
ISNE,"5/1/2018 7 a.m. EDT",12376,12110,10836,-1540
ISNE,"5/1/2018 8 a.m. EDT",13018,12790,11423,-1595
ISNE,"5/1/2018 9 a.m. EDT",12808,12870,11156,-1652
ISNE,"5/1/2018 10 a.m. EDT",12685,12710,10953,-1732
ISNE,"5/1/2018 11 a.m. EDT",12592,12320,11013,-1579
ISNE,"5/1/2018 12 p.m. EDT",12769,12220,11114,-1655
ISNE,"5/1/2018 1 p.m. EDT",12800,11960,11186,-1614
ISNE,"5/1/2018 2 p.m. EDT",12469,11970,10722,-1747
ISNE,"5/1/2018 3 p.m. EDT",11512,12020,9696,-1816
ISNE,"5/1/2018 4 p.m. EDT",11663,12270,9990,-1673
ISNE,"5/1/2018 5 p.m. EDT",12060,12490,10690,-1370
ISNE,"5/1/2018 6 p.m. EDT",12714,12920,11133,-1581
ISNE,"5/1/2018 7 p.m. EDT",13132,13260,11355,-1777
ISNE,"5/1/2018 8 p.m. EDT",13519,13610,11643,-1876
ISNE,"5/1/2018 9 p.m. EDT",13718,14000,11770,-1948
ISNE,"5/1/2018 10 p.m. EDT",12878,13050,10817,-2061
ISNE,"5/1/2018 11 p.m. EDT",11699,11690,9631,-2068
ISNE,"5/2/2018 12 a.m. EDT",10753,10540,8645,-2108
ISNE,"5/2/2018 1 a.m. EDT",10354,9670,8077,-2277
ISNE,"5/2/2018 2 a.m. EDT",10296,9260,7908,-2388
ISNE,"5/2/2018 3 a.m. EDT",10349,9070,7851,-2498
ISNE,"5/2/2018 4 a.m. EDT",10322,9030,7843,-2479
ISNE,"5/2/2018 5 a.m. EDT",10590,9290,8280,-2310
ISNE,"5/2/2018 6 a.m. EDT",10878,10070,8910,-1968
ISNE,"5/2/2018 7 a.m. EDT",11645,11590,9828,-1817
ISNE,"5/2/2018 8 a.m. EDT",12352,12430,10482,-1870
ISNE,"5/2/2018 9 a.m. EDT",12359,12500,10325,-2034
ISNE,"5/2/2018 10 a.m. EDT",12296,12280,10281,-2015
ISNE,"5/2/2018 11 a.m. EDT",12328,12540,10404,-1924
ISNE,"5/2/2018 12 p.m. EDT",12405,12670,10425,-1980
ISNE,"5/2/2018 1 p.m. EDT",12527,12960,10821,-1706
ISNE,"5/2/2018 2 p.m. EDT",12824,13250,11027,-1797
ISNE,"5/2/2018 3 p.m. EDT",13105,13400,11395,-1710
ISNE,"5/2/2018 4 p.m. EDT",13504,13730,11656,-1848
ISNE,"5/2/2018 5 p.m. EDT",14038,14190,12084,-1954
ISNE,"5/2/2018 6 p.m. EDT",14459,14470,12468,-1991
ISNE,"5/2/2018 7 p.m. EDT",14593,14690,12413,-2180
ISNE,"5/2/2018 8 p.m. EDT",14738,14770,12529,-2209
ISNE,"5/2/2018 9 p.m. EDT",14958,15000,12911,-2047
ISNE,"5/2/2018 10 p.m. EDT",14082,14080,12124,-1958
ISNE,"5/2/2018 11 p.m. EDT",12679,12570,10585,-2094
ISNE,"5/3/2018 12 a.m. EDT",11534,11260,9589,-1945
ISNE,"5/3/2018 1 a.m. EDT",10909,10470,8778,-2131
ISNE,"5/3/2018 2 a.m. EDT",10480,9930,8421,-2059
ISNE,"5/3/2018 3 a.m. EDT",10231,9620,8100,-2131
ISNE,"5/3/2018 4 a.m. EDT",10272,9510,8033,-2239
ISNE,"5/3/2018 5 a.m. EDT",10244,9720,7956,-2288
ISNE,"5/3/2018 6 a.m. EDT",10808,10560,8777,-2031
ISNE,"5/3/2018 7 a.m. EDT",12216,11990,10450,-1766
ISNE,"5/3/2018 8 a.m. EDT",13220,12970,11533,-1687
ISNE,"5/3/2018 9 a.m. EDT",13468,13230,11717,-1751
ISNE,"5/3/2018 10 a.m. EDT",13296,13270,11514,-1782
ISNE,"5/3/2018 11 a.m. EDT",13792,13530,12098,-1694
ISNE,"5/3/2018 12 p.m. EDT",14358,13930,12699,-1659
ISNE,"5/3/2018 1 p.m. EDT",14880,14210,13248,-1632
ISNE,"5/3/2018 2 p.m. EDT",15341,14760,13692,-1649
ISNE,"5/3/2018 3 p.m. EDT",15546,14940,13833,-1713
ISNE,"5/3/2018 4 p.m. EDT",15679,15130,14078,-1601
