"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ISNE,"11/1/2016 12 a.m. EDT",11365,11490,8683,-2682
ISNE,"11/1/2016 1 a.m. EDT",10957,10740,8110,-2847
ISNE,"11/1/2016 2 a.m. EDT",10910,10350,8096,-2814
ISNE,"11/1/2016 3 a.m. EDT",11091,10190,8175,-2916
ISNE,"11/1/2016 4 a.m. EDT",11347,10200,8399,-2948
ISNE,"11/1/2016 5 a.m. EDT",11444,10520,8597,-2847
ISNE,"11/1/2016 6 a.m. EDT",12249,11640,9661,-2588
ISNE,"11/1/2016 7 a.m. EDT",13680,13650,11100,-2580
ISNE,"11/1/2016 8 a.m. EDT",14807,14620,12358,-2449
ISNE,"11/1/2016 9 a.m. EDT",14740,14450,12277,-2463
ISNE,"11/1/2016 10 a.m. EDT",14309,14010,11811,-2498
ISNE,"11/1/2016 11 a.m. EDT",13949,13730,11537,-2412
ISNE,"11/1/2016 12 p.m. EDT",13623,13490,11105,-2518
ISNE,"11/1/2016 1 p.m. EDT",13360,13350,11148,-2212
ISNE,"11/1/2016 2 p.m. EDT",13276,13280,10904,-2372
ISNE,"11/1/2016 3 p.m. EDT",13254,13290,10948,-2306
ISNE,"11/1/2016 4 p.m. EDT",13402,13500,11071,-2331
ISNE,"11/1/2016 5 p.m. EDT",13930,14160,11488,-2442
ISNE,"11/1/2016 6 p.m. EDT",14868,14900,12310,-2558
ISNE,"11/1/2016 7 p.m. EDT",15741,15600,13044,-2697
ISNE,"11/1/2016 8 p.m. EDT",15482,15310,12875,-2607
ISNE,"11/1/2016 9 p.m. EDT",14825,14770,12271,-2554
ISNE,"11/1/2016 10 p.m. EDT",13816,13720,11113,-2703
ISNE,"11/1/2016 11 p.m. EDT",12493,12380,9918,-2575
ISNE,"11/2/2016 12 a.m. EDT",11556,11270,8830,-2726
ISNE,"11/2/2016 1 a.m. EDT",10943,10530,8130,-2813
ISNE,"11/2/2016 2 a.m. EDT",10674,10080,7924,-2750
ISNE,"11/2/2016 3 a.m. EDT",10678,9880,7856,-2822
ISNE,"11/2/2016 4 a.m. EDT",10617,9860,8038,-2579
ISNE,"11/2/2016 5 a.m. EDT",10798,10110,8245,-2553
ISNE,"11/2/2016 6 a.m. EDT",11624,11120,8902,-2722
ISNE,"11/2/2016 7 a.m. EDT",13045,13030,10373,-2672
ISNE,"11/2/2016 8 a.m. EDT",14043,14120,11289,-2754
ISNE,"11/2/2016 9 a.m. EDT",14062,14070,11477,-2585
