"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ISNE,"12/1/2021 12 a.m. EST",12370,12400,10796,-1574
ISNE,"12/1/2021 1 a.m. EST",11709,11690,9917,-1792
ISNE,"12/1/2021 2 a.m. EST",11549,11280,9713,-1836
ISNE,"12/1/2021 3 a.m. EST",11671,11130,9942,-1729
ISNE,"12/1/2021 4 a.m. EST",11677,11150,9983,-1694
ISNE,"12/1/2021 5 a.m. EST",11773,11520,10148,-1625
ISNE,"12/1/2021 6 a.m. EST",12488,12490,10918,-1570
ISNE,"12/1/2021 7 a.m. EST",14019,14050,12527,-1492
ISNE,"12/1/2021 8 a.m. EST",14836,14840,13002,-1834
ISNE,"12/1/2021 9 a.m. EST",14545,14520,12743,-1802
ISNE,"12/1/2021 10 a.m. EST",13939,13830,12268,-1671
ISNE,"12/1/2021 11 a.m. EST",14032,13560,13068,-964
ISNE,"12/1/2021 12 p.m. EST",14289,13440,13473,-816
ISNE,"12/1/2021 1 p.m. EST",14217,13470,13184,-1033
ISNE,"12/1/2021 2 p.m. EST",14372,13710,13275,-1097
ISNE,"12/1/2021 3 p.m. EST",14603,14070,13056,-1547
ISNE,"12/1/2021 4 p.m. EST",14800,14620,13023,-1777
ISNE,"12/1/2021 5 p.m. EST",15709,15740,13957,-1752
ISNE,"12/1/2021 6 p.m. EST",16542,16570,14848,-1694
ISNE,"12/1/2021 7 p.m. EST",16399,16390,14612,-1787
ISNE,"12/1/2021 8 p.m. EST",15962,15940,14076,-1886
ISNE,"12/1/2021 9 p.m. EST",15314,15350,13463,-1851
ISNE,"12/1/2021 10 p.m. EST",14380,14430,12877,-1503
ISNE,"12/1/2021 11 p.m. EST",13212,13270,11529,-1683
ISNE,"12/2/2021 12 a.m. EST",12163,12240,10490,-1673
ISNE,"12/2/2021 1 a.m. EST",11517,11490,10178,-1339
ISNE,"12/2/2021 2 a.m. EST",11389,11100,10012,-1377
ISNE,"12/2/2021 3 a.m. EST",11525,10900,10212,-1313
ISNE,"12/2/2021 4 a.m. EST",11505,10890,10121,-1384
ISNE,"12/2/2021 5 a.m. EST",11788,11200,10523,-1265
ISNE,"12/2/2021 6 a.m. EST",12417,12100,11350,-1067
ISNE,"12/2/2021 7 a.m. EST",13673,13550,12655,-1018
ISNE,"12/2/2021 8 a.m. EST",14498,14690,12806,-1692
ISNE,"12/2/2021 9 a.m. EST",14808,14800,12991,-1817
ISNE,"12/2/2021 10 a.m. EST",14583,14540,12878,-1705
ISNE,"12/2/2021 11 a.m. EST",14285,14520,13016,-1269
ISNE,"12/2/2021 12 p.m. EST",13970,14470,13015,-955
ISNE,"12/2/2021 1 p.m. EST",14114,14420,13109,-1005
ISNE,"12/2/2021 2 p.m. EST",14448,14500,13487,-961
ISNE,"12/2/2021 3 p.m. EST",14532,14430,13400,-1132
ISNE,"12/2/2021 4 p.m. EST",14989,14710,12991,-1998
ISNE,"12/2/2021 5 p.m. EST",15305,15570,13438,-1867
ISNE,"12/2/2021 6 p.m. EST",15766,16100,13707,-2059
ISNE,"12/2/2021 7 p.m. EST",15747,15870,13624,-2123
ISNE,"12/2/2021 8 p.m. EST",15258,15080,13093,-2165
ISNE,"12/2/2021 9 p.m. EST",14609,14420,12263,-2346
ISNE,"12/2/2021 10 p.m. EST",14216,13500,11789,-2427
ISNE,"12/2/2021 11 p.m. EST",13474,12400,10536,-2938
ISNE,"12/3/2021 12 a.m. EST",12519,11380,9608,-2911
ISNE,"12/3/2021 1 a.m. EST",11606,10730,9426,-2180
ISNE,"12/3/2021 2 a.m. EST",11254,10400,9155,-2099
ISNE,"12/3/2021 3 a.m. EST",11105,10260,9018,-2087
ISNE,"12/3/2021 4 a.m. EST",11301,10310,9263,-2038
ISNE,"12/3/2021 5 a.m. EST",11678,10680,9658,-2020
ISNE,"12/3/2021 6 a.m. EST",12051,11620,10095,-1956
ISNE,"12/3/2021 7 a.m. EST",13120,13160,10933,-2187
ISNE,"12/3/2021 8 a.m. EST",14092,14090,11670,-2422
ISNE,"12/3/2021 9 a.m. EST",14106,14030,11598,-2508
ISNE,"12/3/2021 10 a.m. EST",13435,13410,10958,-2477
ISNE,"12/3/2021 11 a.m. EST",13033,12980,10510,-2523
ISNE,"12/3/2021 12 p.m. EST",12614,12820,10141,-2473
ISNE,"12/3/2021 1 p.m. EST",12402,12630,10107,-2295
ISNE,"12/3/2021 2 p.m. EST",12581,12780,10295,-2286
ISNE,"12/3/2021 3 p.m. EST",13305,13400,10959,-2346
ISNE,"12/3/2021 4 p.m. EST",14345,14220,11831,-2514
ISNE,"12/3/2021 5 p.m. EST",15565,15470,13307,-2258
