"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ISNE,"1/1/2021 12 a.m. EST",12571,12350,9528,-3043
ISNE,"1/1/2021 1 a.m. EST",12480,12030,9177,-3303
ISNE,"1/1/2021 2 a.m. EST",12373,11550,9428,-2945
ISNE,"1/1/2021 3 a.m. EST",12148,11300,9180,-2968
ISNE,"1/1/2021 4 a.m. EST",12271,11230,9244,-3027
ISNE,"1/1/2021 5 a.m. EST",12373,11340,9398,-2975
ISNE,"1/1/2021 6 a.m. EST",12212,11680,9337,-2875
ISNE,"1/1/2021 7 a.m. EST",12363,12190,9722,-2641
ISNE,"1/1/2021 8 a.m. EST",12562,12560,9842,-2720
ISNE,"1/1/2021 9 a.m. EST",12569,12570,9508,-3061
ISNE,"1/1/2021 10 a.m. EST",12561,12260,9395,-3166
ISNE,"1/1/2021 11 a.m. EST",12561,12050,9444,-3117
ISNE,"1/1/2021 12 p.m. EST",12624,12320,9648,-2976
ISNE,"1/1/2021 1 p.m. EST",12767,12750,9887,-2880
ISNE,"1/1/2021 2 p.m. EST",13380,13180,10476,-2904
ISNE,"1/1/2021 3 p.m. EST",13732,13540,10571,-3161
ISNE,"1/1/2021 4 p.m. EST",14336,13910,11206,-3130
ISNE,"1/1/2021 5 p.m. EST",15229,14920,12344,-2885
ISNE,"1/1/2021 6 p.m. EST",15885,15570,12832,-3053
ISNE,"1/1/2021 7 p.m. EST",15596,15460,12456,-3140
ISNE,"1/1/2021 8 p.m. EST",15053,14910,11877,-3176
ISNE,"1/1/2021 9 p.m. EST",14469,14320,11416,-3053
ISNE,"1/1/2021 10 p.m. EST",13780,13730,10490,-3290
ISNE,"1/1/2021 11 p.m. EST",12956,13020,9539,-3417
ISNE,"1/2/2021 12 a.m. EST",12345,12270,9014,-3331
ISNE,"1/2/2021 1 a.m. EST",11704,11510,8661,-3043
ISNE,"1/2/2021 2 a.m. EST",11380,11060,8385,-2995
ISNE,"1/2/2021 3 a.m. EST",11351,10800,8427,-2924
ISNE,"1/2/2021 4 a.m. EST",11202,10670,8174,-3028
ISNE,"1/2/2021 5 a.m. EST",11245,10710,8205,-3040
ISNE,"1/2/2021 6 a.m. EST",11503,10980,8504,-2999
ISNE,"1/2/2021 7 a.m. EST",11986,11470,9227,-2759
ISNE,"1/2/2021 8 a.m. EST",12556,12040,9856,-2700
ISNE,"1/2/2021 9 a.m. EST",13042,12730,10305,-2737
ISNE,"1/2/2021 10 a.m. EST",13500,13270,10540,-2960
ISNE,"1/2/2021 11 a.m. EST",13432,13430,10622,-2810
ISNE,"1/2/2021 12 p.m. EST",13358,13330,10440,-2918
ISNE,"1/2/2021 1 p.m. EST",12728,12720,9734,-2994
ISNE,"1/2/2021 2 p.m. EST",12770,12640,10053,-2717
ISNE,"1/2/2021 3 p.m. EST",13186,12990,10488,-2698
ISNE,"1/2/2021 4 p.m. EST",13691,13560,10892,-2799
ISNE,"1/2/2021 5 p.m. EST",14575,14470,11632,-2943
ISNE,"1/2/2021 6 p.m. EST",15534,15280,12509,-3025
ISNE,"1/2/2021 7 p.m. EST",15392,15030,12279,-3113
ISNE,"1/2/2021 8 p.m. EST",14916,14500,11672,-3244
ISNE,"1/2/2021 9 p.m. EST",14358,13940,11279,-3079
ISNE,"1/2/2021 10 p.m. EST",13735,13460,10484,-3251
ISNE,"1/2/2021 11 p.m. EST",12979,12820,9412,-3567
ISNE,"1/3/2021 12 a.m. EST",12299,12110,8681,-3618
ISNE,"1/3/2021 1 a.m. EST",12076,11570,10217,-1859
ISNE,"1/3/2021 2 a.m. EST",11972,11190,10138,-1834
ISNE,"1/3/2021 3 a.m. EST",11793,11000,10092,-1701
ISNE,"1/3/2021 4 a.m. EST",11746,10960,10009,-1737
ISNE,"1/3/2021 5 a.m. EST",11834,11050,9909,-1925
ISNE,"1/3/2021 6 a.m. EST",11887,11330,9827,-2060
ISNE,"1/3/2021 7 a.m. EST",12078,11810,9876,-2202
ISNE,"1/3/2021 8 a.m. EST",12601,12210,10322,-2279
ISNE,"1/3/2021 9 a.m. EST",12983,12950,10655,-2328
ISNE,"1/3/2021 10 a.m. EST",13606,13640,11200,-2406
ISNE,"1/3/2021 11 a.m. EST",14113,14060,11599,-2514
ISNE,"1/3/2021 12 p.m. EST",14508,14290,12016,-2492
ISNE,"1/3/2021 1 p.m. EST",14765,14470,12318,-2447
ISNE,"1/3/2021 2 p.m. EST",14823,14670,12331,-2492
ISNE,"1/3/2021 3 p.m. EST",14977,14780,12533,-2444
ISNE,"1/3/2021 4 p.m. EST",15204,15060,12369,-2835
ISNE,"1/3/2021 5 p.m. EST",16056,15920,13209,-2847
ISNE,"1/3/2021 6 p.m. EST",16684,16700,14200,-2484
ISNE,"1/3/2021 7 p.m. EST",16379,16390,13538,-2841
ISNE,"1/3/2021 8 p.m. EST",15733,15810,13271,-2462
ISNE,"1/3/2021 9 p.m. EST",14997,15020,12511,-2486
ISNE,"1/3/2021 10 p.m. EST",14075,14150,11745,-2330
ISNE,"1/3/2021 11 p.m. EST",13053,13120,10683,-2370
ISNE,"1/4/2021 12 a.m. EST",12152,12120,9862,-2290
