"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ISNE,"3/1/2021 12 a.m. EST",12266,11350,-41,-12307
ISNE,"3/1/2021 1 a.m. EST",12037,10910,9505,-2532
ISNE,"3/1/2021 2 a.m. EST",11735,10610,9150,-2585
ISNE,"3/1/2021 3 a.m. EST",11601,10490,8914,-2687
ISNE,"3/1/2021 4 a.m. EST",11650,10520,8914,-2736
ISNE,"3/1/2021 5 a.m. EST",11959,11030,9226,-2733
ISNE,"3/1/2021 6 a.m. EST",12278,11880,9819,-2459
ISNE,"3/1/2021 7 a.m. EST",13064,13400,11518,-1546
ISNE,"3/1/2021 8 a.m. EST",14092,14250,12695,-1397
ISNE,"3/1/2021 9 a.m. EST",14534,14510,13006,-1528
ISNE,"3/1/2021 10 a.m. EST",14696,14700,13073,-1623
ISNE,"3/1/2021 11 a.m. EST",14760,14740,13078,-1682
ISNE,"3/1/2021 12 p.m. EST",15007,14670,12940,-2067
ISNE,"3/1/2021 1 p.m. EST",14998,14640,12623,-2375
ISNE,"3/1/2021 2 p.m. EST",14667,14600,12327,-2340
ISNE,"3/1/2021 3 p.m. EST",14554,14400,12242,-2312
ISNE,"3/1/2021 4 p.m. EST",14452,14280,12024,-2428
ISNE,"3/1/2021 5 p.m. EST",14641,14740,12261,-2380
ISNE,"3/1/2021 6 p.m. EST",15717,15530,13397,-2320
ISNE,"3/1/2021 7 p.m. EST",16374,16100,13958,-2416
ISNE,"3/1/2021 8 p.m. EST",15925,15840,13514,-2411
ISNE,"3/1/2021 9 p.m. EST",15278,15330,12858,-2420
ISNE,"3/1/2021 10 p.m. EST",14497,14440,11996,-2501
ISNE,"3/1/2021 11 p.m. EST",13786,13450,11287,-2499
ISNE,"3/2/2021 12 a.m. EST",13187,12630,2776,-10411
ISNE,"3/2/2021 1 a.m. EST",13195,12160,10708,-2487
ISNE,"3/2/2021 2 a.m. EST",13087,12070,10495,-2592
ISNE,"3/2/2021 3 a.m. EST",13110,12050,10529,-2581
ISNE,"3/2/2021 4 a.m. EST",13306,12200,10898,-2408
ISNE,"3/2/2021 5 a.m. EST",13494,12780,11390,-2104
ISNE,"3/2/2021 6 a.m. EST",13973,13860,12211,-1762
ISNE,"3/2/2021 7 a.m. EST",15325,15190,13820,-1505
ISNE,"3/2/2021 8 a.m. EST",15824,15740,14435,-1389
ISNE,"3/2/2021 9 a.m. EST",15341,15320,14114,-1227
ISNE,"3/2/2021 10 a.m. EST",14670,14670,13482,-1188
ISNE,"3/2/2021 11 a.m. EST",14319,14230,13161,-1158
ISNE,"3/2/2021 12 p.m. EST",14311,13940,12749,-1562
ISNE,"3/2/2021 1 p.m. EST",14097,13660,12670,-1427
ISNE,"3/2/2021 2 p.m. EST",13915,13560,12455,-1460
ISNE,"3/2/2021 3 p.m. EST",14020,13550,12580,-1440
ISNE,"3/2/2021 4 p.m. EST",14635,14160,13335,-1300
ISNE,"3/2/2021 5 p.m. EST",15665,15240,14257,-1408
ISNE,"3/2/2021 6 p.m. EST",17091,16600,15569,-1522
ISNE,"3/2/2021 7 p.m. EST",17650,17420,16091,-1559
ISNE,"3/2/2021 8 p.m. EST",17218,17160,15595,-1623
ISNE,"3/2/2021 9 p.m. EST",16551,16500,14981,-1570
ISNE,"3/2/2021 10 p.m. EST",15617,15350,14162,-1455
ISNE,"3/2/2021 11 p.m. EST",14478,14260,12873,-1605
ISNE,"3/3/2021 12 a.m. EST",13532,13130,11829,-1703
ISNE,"3/3/2021 1 a.m. EST",13197,12930,11529,-1668
ISNE,"3/3/2021 2 a.m. EST",12836,12570,11429,-1407
ISNE,"3/3/2021 3 a.m. EST",12656,12400,11044,-1612
ISNE,"3/3/2021 4 a.m. EST",12641,12380,11084,-1557
ISNE,"3/3/2021 5 a.m. EST",12693,12680,11351,-1342
ISNE,"3/3/2021 6 a.m. EST",13440,13460,12074,-1366
ISNE,"3/3/2021 7 a.m. EST",14676,14700,13539,-1137
ISNE,"3/3/2021 8 a.m. EST",15326,15320,13954,-1372
ISNE,"3/3/2021 9 a.m. EST",14930,15090,13337,-1593
ISNE,"3/3/2021 10 a.m. EST",13844,13810,12267,-1577
ISNE,"3/3/2021 11 a.m. EST",13708,13160,12114,-1594
ISNE,"3/3/2021 12 p.m. EST",13600,12770,12120,-1480
ISNE,"3/3/2021 1 p.m. EST",13434,12540,12142,-1292
ISNE,"3/3/2021 2 p.m. EST",13470,12520,12062,-1408
ISNE,"3/3/2021 3 p.m. EST",13679,12660,12074,-1605
ISNE,"3/3/2021 4 p.m. EST",13770,13160,12053,-1717
ISNE,"3/3/2021 5 p.m. EST",14366,14160,12592,-1774
ISNE,"3/3/2021 6 p.m. EST",15527,15240,13620,-1907
ISNE,"3/3/2021 7 p.m. EST",16067,15800,14074,-1993
ISNE,"3/3/2021 8 p.m. EST",15597,15500,13534,-2063
ISNE,"3/3/2021 9 p.m. EST",14906,14920,12849,-2057
ISNE,"3/3/2021 10 p.m. EST",14016,14120,11973,-2043
ISNE,"3/3/2021 11 p.m. EST",13137,13110,11150,-1987
ISNE,"3/4/2021 12 a.m. EST",12635,12240,10477,-2158
ISNE,"3/4/2021 1 a.m. EST",12581,11490,10326,-2255
ISNE,"3/4/2021 2 a.m. EST",12285,11190,10113,-2172
ISNE,"3/4/2021 3 a.m. EST",12160,11060,9956,-2204
ISNE,"3/4/2021 4 a.m. EST",12208,11130,10013,-2195
ISNE,"3/4/2021 5 a.m. EST",12291,11510,10182,-2109
ISNE,"3/4/2021 6 a.m. EST",13180,12420,11178,-2002
ISNE,"3/4/2021 7 a.m. EST",13933,13700,12018,-1915
ISNE,"3/4/2021 8 a.m. EST",14336,14330,12313,-2023
ISNE,"3/4/2021 9 a.m. EST",14561,14130,12410,-2151
ISNE,"3/4/2021 10 a.m. EST",14405,13970,12535,-1870
ISNE,"3/4/2021 11 a.m. EST",13694,13670,11995,-1699
ISNE,"3/4/2021 12 p.m. EST",13739,13430,12334,-1405
ISNE,"3/4/2021 1 p.m. EST",13380,13060,11924,-1456
ISNE,"3/4/2021 2 p.m. EST",13178,12800,11690,-1488
ISNE,"3/4/2021 3 p.m. EST",13116,12960,11435,-1681
ISNE,"3/4/2021 4 p.m. EST",13235,13570,11685,-1550
ISNE,"3/4/2021 5 p.m. EST",14302,14670,12656,-1646
ISNE,"3/4/2021 6 p.m. EST",15819,15910,14026,-1793
