"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ISNE,"6/1/2021 12 a.m. EDT",10022,10010,8059,-1963
ISNE,"6/1/2021 1 a.m. EDT",9888,9360,7491,-2397
ISNE,"6/1/2021 2 a.m. EDT",9550,9010,7134,-2416
ISNE,"6/1/2021 3 a.m. EDT",9633,8830,7379,-2254
ISNE,"6/1/2021 4 a.m. EDT",9635,8840,7703,-1932
ISNE,"6/1/2021 5 a.m. EDT",9899,9150,7736,-2163
ISNE,"6/1/2021 6 a.m. EDT",10018,9800,8024,-1994
ISNE,"6/1/2021 7 a.m. EDT",10804,10840,8578,-2226
ISNE,"6/1/2021 8 a.m. EDT",11527,11550,9639,-1888
ISNE,"6/1/2021 9 a.m. EDT",11668,11690,9926,-1742
ISNE,"6/1/2021 10 a.m. EDT",11814,11820,10219,-1595
ISNE,"6/1/2021 11 a.m. EDT",11697,11700,9786,-1911
ISNE,"6/1/2021 12 p.m. EDT",11542,11530,9780,-1762
ISNE,"6/1/2021 1 p.m. EDT",11573,11570,10016,-1557
ISNE,"6/1/2021 2 p.m. EDT",11401,11400,9759,-1642
ISNE,"6/1/2021 3 p.m. EDT",11186,11100,9568,-1618
ISNE,"6/1/2021 4 p.m. EDT",11495,11700,9993,-1502
ISNE,"6/1/2021 5 p.m. EDT",12008,12660,10243,-1765
ISNE,"6/1/2021 6 p.m. EDT",12874,13630,10976,-1898
ISNE,"6/1/2021 7 p.m. EDT",13447,14180,11342,-2105
ISNE,"6/1/2021 8 p.m. EDT",13540,14110,11286,-2254
ISNE,"6/1/2021 9 p.m. EDT",13547,13860,11190,-2357
ISNE,"6/1/2021 10 p.m. EDT",12995,13150,10775,-2220
ISNE,"6/1/2021 11 p.m. EDT",11869,12030,9772,-2097
ISNE,"6/2/2021 12 a.m. EDT",10846,10930,9022,-1824
ISNE,"6/2/2021 1 a.m. EDT",10284,9980,8676,-1608
ISNE,"6/2/2021 2 a.m. EDT",9819,9530,8280,-1539
ISNE,"6/2/2021 3 a.m. EDT",9767,9280,8086,-1681
ISNE,"6/2/2021 4 a.m. EDT",9734,9190,8045,-1689
ISNE,"6/2/2021 5 a.m. EDT",9918,9390,8174,-1744
