"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ISNE,"3/1/2017 12 a.m. EST",11633,11320,9617,-2016
ISNE,"3/1/2017 1 a.m. EST",11241,10560,9052,-2189
ISNE,"3/1/2017 2 a.m. EST",11007,10160,9011,-1996
ISNE,"3/1/2017 3 a.m. EST",10645,9970,8437,-2208
ISNE,"3/1/2017 4 a.m. EST",10602,9980,8457,-2145
ISNE,"3/1/2017 5 a.m. EST",10911,10220,8974,-1937
ISNE,"3/1/2017 6 a.m. EST",11700,11240,9651,-2049
ISNE,"3/1/2017 7 a.m. EST",12800,12830,10792,-2008
ISNE,"3/1/2017 8 a.m. EST",13789,13790,11699,-2090
ISNE,"3/1/2017 9 a.m. EST",14036,13970,12023,-2013
ISNE,"3/1/2017 10 a.m. EST",14159,13970,12110,-2049
ISNE,"3/1/2017 11 a.m. EST",14292,14140,11954,-2338
ISNE,"3/1/2017 12 p.m. EST",14299,14030,11907,-2392
ISNE,"3/1/2017 1 p.m. EST",14209,13940,11546,-2663
ISNE,"3/1/2017 2 p.m. EST",14088,13900,11302,-2786
ISNE,"3/1/2017 3 p.m. EST",13992,13990,11211,-2781
ISNE,"3/1/2017 4 p.m. EST",14090,14100,11231,-2859
ISNE,"3/1/2017 5 p.m. EST",14372,14510,11725,-2647
ISNE,"3/1/2017 6 p.m. EST",15063,15170,12475,-2588
ISNE,"3/1/2017 7 p.m. EST",15472,15700,13155,-2317
ISNE,"3/1/2017 8 p.m. EST",15075,15290,12962,-2113
ISNE,"3/1/2017 9 p.m. EST",14430,14540,11848,-2582
ISNE,"3/1/2017 10 p.m. EST",13409,13520,10759,-2650
ISNE,"3/1/2017 11 p.m. EST",12156,12170,9751,-2405
ISNE,"3/2/2017 12 a.m. EST",11122,11100,9164,-1958
ISNE,"3/2/2017 1 a.m. EST",10951,10360,8571,-2380
ISNE,"3/2/2017 2 a.m. EST",10894,9890,8603,-2291
ISNE,"3/2/2017 3 a.m. EST",10746,9650,8767,-1979
ISNE,"3/2/2017 4 a.m. EST",10964,9660,8706,-2258
ISNE,"3/2/2017 5 a.m. EST",11193,9920,8667,-2526
ISNE,"3/2/2017 6 a.m. EST",11408,10990,9365,-2043
ISNE,"3/2/2017 7 a.m. EST",12600,12650,10346,-2254
ISNE,"3/2/2017 8 a.m. EST",13400,13600,10744,-2656
ISNE,"3/2/2017 9 a.m. EST",13532,13780,11013,-2519
ISNE,"3/2/2017 10 a.m. EST",13529,13730,10954,-2575
ISNE,"3/2/2017 11 a.m. EST",13314,13320,10596,-2718
ISNE,"3/2/2017 12 p.m. EST",13071,13290,10347,-2724
ISNE,"3/2/2017 1 p.m. EST",12950,13230,10512,-2438
ISNE,"3/2/2017 2 p.m. EST",13022,13040,10632,-2390
ISNE,"3/2/2017 3 p.m. EST",13110,13260,10839,-2271
ISNE,"3/2/2017 4 p.m. EST",13376,13620,10938,-2438
ISNE,"3/2/2017 5 p.m. EST",14169,14290,11736,-2433
ISNE,"3/2/2017 6 p.m. EST",15309,15320,12951,-2358
ISNE,"3/2/2017 7 p.m. EST",16228,16000,13858,-2370
ISNE,"3/2/2017 8 p.m. EST",16046,15850,13634,-2412
ISNE,"3/2/2017 9 p.m. EST",15602,15450,13537,-2065
ISNE,"3/2/2017 10 p.m. EST",14725,14580,12735,-1990
ISNE,"3/2/2017 11 p.m. EST",13532,13370,11075,-2457
ISNE,"3/3/2017 12 a.m. EST",12901,12360,10494,-2407
ISNE,"3/3/2017 1 a.m. EST",12266,11740,10193,-2073
ISNE,"3/3/2017 2 a.m. EST",11996,11340,10067,-1929
ISNE,"3/3/2017 3 a.m. EST",12098,11190,10135,-1963
