"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ISNE,"10/1/2020 12 a.m. EDT",10946,10650,8596,-2350
ISNE,"10/1/2020 1 a.m. EDT",10394,10000,8213,-2181
ISNE,"10/1/2020 2 a.m. EDT",10135,9590,8192,-1943
ISNE,"10/1/2020 3 a.m. EDT",9872,9350,7871,-2001
ISNE,"10/1/2020 4 a.m. EDT",9810,9300,7837,-1973
ISNE,"10/1/2020 5 a.m. EDT",10009,9440,8047,-1962
ISNE,"10/1/2020 6 a.m. EDT",10697,10270,8714,-1983
ISNE,"10/1/2020 7 a.m. EDT",11657,11660,9276,-2381
ISNE,"10/1/2020 8 a.m. EDT",12480,12470,9593,-2887
ISNE,"10/1/2020 9 a.m. EDT",12593,12390,9650,-2943
ISNE,"10/1/2020 10 a.m. EDT",12337,12140,9631,-2706
ISNE,"10/1/2020 11 a.m. EDT",12026,11990,9274,-2752
ISNE,"10/1/2020 12 p.m. EDT",12230,12000,9465,-2765
ISNE,"10/1/2020 1 p.m. EDT",12566,12160,10095,-2471
ISNE,"10/1/2020 2 p.m. EDT",12690,12370,10180,-2510
ISNE,"10/1/2020 3 p.m. EDT",12770,12690,9798,-2972
ISNE,"10/1/2020 4 p.m. EDT",13068,13080,10111,-2957
ISNE,"10/1/2020 5 p.m. EDT",13363,13680,10320,-3043
ISNE,"10/1/2020 6 p.m. EDT",13987,14260,10925,-3062
ISNE,"10/1/2020 7 p.m. EDT",14500,14620,11309,-3191
ISNE,"10/1/2020 8 p.m. EDT",14446,14550,11524,-2922
ISNE,"10/1/2020 9 p.m. EDT",13773,14000,10573,-3200
ISNE,"10/1/2020 10 p.m. EDT",12884,13010,9715,-3169
ISNE,"10/1/2020 11 p.m. EDT",11852,11870,8820,-3032
ISNE,"10/2/2020 12 a.m. EDT",10855,10820,8332,-2523
ISNE,"10/2/2020 1 a.m. EDT",10369,9910,7979,-2390
ISNE,"10/2/2020 2 a.m. EDT",10245,9420,7928,-2317
ISNE,"10/2/2020 3 a.m. EDT",10021,9270,7754,-2267
ISNE,"10/2/2020 4 a.m. EDT",10050,9170,7773,-2277
ISNE,"10/2/2020 5 a.m. EDT",10250,9400,7982,-2268
ISNE,"10/2/2020 6 a.m. EDT",10729,10240,8036,-2693
ISNE,"10/2/2020 7 a.m. EDT",11428,11650,8804,-2624
ISNE,"10/2/2020 8 a.m. EDT",12413,12570,9535,-2878
ISNE,"10/2/2020 9 a.m. EDT",12998,12930,9873,-3125
ISNE,"10/2/2020 10 a.m. EDT",13172,13100,10150,-3022
ISNE,"10/2/2020 11 a.m. EDT",13346,13160,10202,-3144
ISNE,"10/2/2020 12 p.m. EDT",13634,13090,10484,-3150
ISNE,"10/2/2020 1 p.m. EDT",13650,13630,10574,-3076
ISNE,"10/2/2020 2 p.m. EDT",13355,13420,10217,-3138
ISNE,"10/2/2020 3 p.m. EDT",12919,13330,9754,-3165
ISNE,"10/2/2020 4 p.m. EDT",12623,13240,9361,-3262
ISNE,"10/2/2020 5 p.m. EDT",12581,13240,9249,-3332
ISNE,"10/2/2020 6 p.m. EDT",13115,13400,9874,-3241
ISNE,"10/2/2020 7 p.m. EDT",13537,13900,10348,-3189
ISNE,"10/2/2020 8 p.m. EDT",13498,13600,10089,-3409
ISNE,"10/2/2020 9 p.m. EDT",13011,12970,9620,-3391
ISNE,"10/2/2020 10 p.m. EDT",12367,12290,9408,-2959
ISNE,"10/2/2020 11 p.m. EDT",11472,11390,8369,-3103
ISNE,"10/3/2020 12 a.m. EDT",10816,10460,7723,-3093
ISNE,"10/3/2020 1 a.m. EDT",10067,9670,6934,-3133
ISNE,"10/3/2020 2 a.m. EDT",9553,9250,6757,-2796
ISNE,"10/3/2020 3 a.m. EDT",9534,9030,7077,-2457
ISNE,"10/3/2020 4 a.m. EDT",9452,8930,6896,-2556
ISNE,"10/3/2020 5 a.m. EDT",9526,9010,6841,-2685
ISNE,"10/3/2020 6 a.m. EDT",9834,9300,6764,-3070
ISNE,"10/3/2020 7 a.m. EDT",10158,9870,6890,-3268
ISNE,"10/3/2020 8 a.m. EDT",10408,10400,7202,-3206
