"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ISNE,"8/1/2019 12 a.m. EDT",15616,14300,11983,-3633
ISNE,"8/1/2019 1 a.m. EDT",14754,14190,11290,-3464
ISNE,"8/1/2019 2 a.m. EDT",14583,13450,11227,-3356
ISNE,"8/1/2019 3 a.m. EDT",14145,12960,10737,-3408
ISNE,"8/1/2019 4 a.m. EDT",13783,12700,10304,-3479
ISNE,"8/1/2019 5 a.m. EDT",13843,12780,10321,-3522
ISNE,"8/1/2019 6 a.m. EDT",14382,13400,10888,-3494
ISNE,"8/1/2019 7 a.m. EDT",15121,14490,11586,-3535
ISNE,"8/1/2019 8 a.m. EDT",15889,15600,12532,-3357
ISNE,"8/1/2019 9 a.m. EDT",16440,16220,13127,-3313
ISNE,"8/1/2019 10 a.m. EDT",16765,16640,13664,-3101
ISNE,"8/1/2019 11 a.m. EDT",17205,17010,14207,-2998
ISNE,"8/1/2019 12 p.m. EDT",17528,17620,14580,-2948
ISNE,"8/1/2019 1 p.m. EDT",17976,18270,15057,-2919
ISNE,"8/1/2019 2 p.m. EDT",18583,18990,15596,-2987
ISNE,"8/1/2019 3 p.m. EDT",19105,19190,16193,-2912
ISNE,"8/1/2019 4 p.m. EDT",19534,20140,17179,-2355
ISNE,"8/1/2019 5 p.m. EDT",20077,19900,17438,-2639
ISNE,"8/1/2019 6 p.m. EDT",20476,20050,17709,-2767
ISNE,"8/1/2019 7 p.m. EDT",20326,19900,17024,-3302
ISNE,"8/1/2019 8 p.m. EDT",19546,18970,16168,-3378
ISNE,"8/1/2019 9 p.m. EDT",18877,18660,15354,-3523
ISNE,"8/1/2019 10 p.m. EDT",17781,17610,14190,-3591
ISNE,"8/1/2019 11 p.m. EDT",16101,16150,12637,-3464
ISNE,"8/2/2019 12 a.m. EDT",14603,14410,11567,-3036
ISNE,"8/2/2019 1 a.m. EDT",13491,13170,10302,-3189
ISNE,"8/2/2019 2 a.m. EDT",12912,12350,9934,-2978
ISNE,"8/2/2019 3 a.m. EDT",12618,11800,9557,-3061
ISNE,"8/2/2019 4 a.m. EDT",12295,11490,9308,-2987
ISNE,"8/2/2019 5 a.m. EDT",12318,11520,9348,-2970
ISNE,"8/2/2019 6 a.m. EDT",12809,12040,9769,-3040
ISNE,"8/2/2019 7 a.m. EDT",13290,12970,9972,-3318
ISNE,"8/2/2019 8 a.m. EDT",14273,14010,11119,-3154
ISNE,"8/2/2019 9 a.m. EDT",14817,14560,11977,-2840
ISNE,"8/2/2019 10 a.m. EDT",14952,14980,12337,-2615
ISNE,"8/2/2019 11 a.m. EDT",15420,15510,12945,-2475
ISNE,"8/2/2019 12 p.m. EDT",15893,16110,13659,-2234
ISNE,"8/2/2019 1 p.m. EDT",16334,16750,14042,-2292
